file,HPO_codes,HPO_symptoms,starts,ends
1931625,"['0100619', '0002085', '0002664', '0001087', '0000119', '0002085', '0002664']","['medulloblastoma', 'basal cell carcinomata', 'medulloblastoma', 'brain', 'tumour', 'medulloblastoma', 'medulloblastoma', 'childhood', 'early age of onset', 'brain', 'medulloblastoma', 'tumour']","['104', '1055', '172', '472', '478', '522', '673', '80', '850', '90', '915', '96']","['119', '1077', '187', '477', '484', '537', '688', '89', '868', '95', '930', '102']"
3185841,"['0009726', '0002664', '0000413', '0002664', '0009726', '0000413', '0009726', '0000413', '0000708', '0011223', '0009726', '0000119', '0000413', '0000708', '0000119', '0009092', '0009726', '0000413']","['tumors', 'tumor', 'acoustic neurinoma', 'tumor', 'tumors', 'acoustic', 'neurinomas', 'tumors', 'acoustic', 'neurinomas', 'cerebellar symptoms', '8th cranial nerve', 'tumors', 'brain stem symptoms', 'acoustic', 'cerebellar symptoms', 'lesions of further cranial nerves', 'neurinomas', 'increasing intracranial pressure', 'tumors', 'acoustic', 'neurinomas', 'mortality']","['1192', '125', '1303', '1393', '169', '194', '203', '243', '321', '330', '363', '409', '451', '470', '48', '521', '542', '57', '580', '662', '816', '825', '998']","['1198', '130', '1321', '1398', '175', '202', '213', '249', '329', '340', '382', '426', '457', '489', '56', '540', '575', '67', '612', '668', '824', '835', '1007']"
7977374,"['0100329', '0001762', '0000054', '0003250', '0001371', '0001357', '0001760', '0002804']","['Club foot', 'dominantly inherited', 'club foot', 'short tandem', 'locus', 'heterogeneity', 'congenital', 'contracture', 'positional', 'foot deformities', 'Distal', 'arthrogryposis']","['0', '127', '148', '196', '586', '592', '624', '635', '665', '676', '68', '75']","['9', '147', '157', '208', '591', '605', '634', '646', '675', '692', '74', '89']"
657583,"['0100848', '0008209', '0008716', '0000133', '0000365', '0000077', '0000077', '0000365', '0100848', '0008209', '0011473', '0000119', '0032411', '0000119', '0000110', '0000130', '0001999', '0000377', '0000110']","['external', 'ear malformations', 'cervical fistulae', 'mixed', 'hearing loss', 'renal anomalies', 'renal anomalies', 'hearing loss', 'external', 'ear malformations', 'variable', 'renal dysplasia', 'autosomal', 'dominant', 'ear dysplasia', 'renal adysplasia', 'branchial arch malformations', 'Potter facies', 'auricular malformation', 'renal adysplasia']","['156', '165', '184', '203', '209', '226', '312', '372', '404', '413', '441', '52', '580', '590', '706', '720', '810', '895', '929', '956']","['164', '182', '201', '208', '221', '241', '327', '384', '412', '430', '449', '67', '589', '598', '719', '736', '838', '908', '951', '972']"
6882181,"['0025274', '0100619', '0000238', '0000119', '0031067', '0002514', '0002839', '0000119', '0000011', '0000121', '0200068', '0100704']","['jaw cyst', 'basal cell naevoid', 'hydrocephalus', 'ventricular malformation', 'cerebellar syndrome', 'intracranial calcification', 'oculomotor disturbances', 'EEG abnormalities', 'peripheral nervous disorders', 'calcium metabolism', 'nonprogressive', 'cerebral gigantism']","['109', '118', '299', '314', '340', '361', '389', '414', '449', '496', '579', '58']","['117', '136', '312', '338', '359', '387', '412', '431', '477', '514', '593', '76']"
10051003,"['0005346', '0100848', '0000356', '0000365', '0001177', '0001177', '0001199', '0002023', '0025451', '0000097', '0025356', '0032411', '0030015', '0011473']","['expression', 'external', 'ear anomalies', 'hearing loss', 'preaxial', 'polydactyly', 'triphalangeal thumbs', 'imperforate anus', 'renal malformations', 'mental', 'retardation', 'autosomal', 'dominant', 'disorder', 'variable']","['104', '139', '148', '163', '177', '186', '202', '224', '246', '344', '351', '35', '45', '54', '95']","['114', '147', '161', '175', '185', '197', '222', '240', '265', '350', '362', '44', '53', '62', '103']"
10482951,"['0000154', '0000303', '0000119', '0008568', '0031588', '0001513', '0100736', '0001290', '0010945', '0000097', '0025356', '0000166', '0000097', '0025356', '0025364', '0005490', '0005484']","['macrostomia', 'prognathia', 'absence of speech', 'ataxia', 'happy disposition', 'obesity', 'muscular', 'hypotonia', 'mild', 'mental', 'retardation', 'severe', 'biparental inheritance', 'mental', 'retardation', 'cellular mosaicism', 'postnatal', 'microcephaly']","['108', '124', '136', '155', '169', '268', '277', '286', '300', '305', '312', '57', '644', '64', '71', '845', '84', '94']","['119', '134', '153', '161', '186', '275', '285', '295', '304', '311', '323', '63', '666', '70', '82', '863', '93', '106']"
7849713,"['0000078', '0000238', '0010469', '0000238', '0000119', '0000238']","['de novo', 'hydrocephalus', 'trapeze aplasia', 'hydrocephalus', 'dominant form', 'hydrocephalus']","['18', '201', '219', '346', '969', '986']","['25', '214', '234', '359', '982', '999']"
1683160,"['0006880', '0001604', '0006880', '0006880', '0006880']","['sporadic', 'familial cases', 'sporadic', 'sporadic', 'sporadic']","['120', '135', '303', '448', '538']","['128', '149', '311', '456', '546']"
998578,"['0000384', '0002710', '0025451', '0001999', '0025451', '0000062', '0032411', '0004876', '0000119', '0000119', '0000384', '0002710', '0000077', '0000384', '0002710', '0008716', '0012571', '0000365']","['preauricular', 'pits', 'severe renal dysgenesis', 'autosomal', 'Potter facies', 'renal agenesis', 'died soon after birth', 'dominant', 'pneumothorax', 'immature development of the lungs', 'renal agenesis or dysgenesis', 'preauricular', 'pits', 'renal anomalies', 'preauricular', 'pits', 'cervical fistulae', 'partial', 'deafness']","['139', '152', '161', '17', '222', '239', '265', '27', '298', '315', '383', '428', '441', '485', '48', '61', '67', '90', '98']","['151', '156', '184', '26', '235', '253', '286', '35', '310', '348', '411', '440', '445', '500', '60', '65', '84', '97', '106']"
