DISEASE_ID,DISEASE_NAME,DISEASE_MEDICAL_RECORD,DISEASE_SUMMARY
OMIM:121210,"Febrile Seizures, Familial, 1","Rare disease patients have complex clinical representations. Patients with Febrile Seizures, Familial, 1 present clinical features that include epilepsy, cognitive impairment, and ataxia. Febrile Seizures, Familial, 1 is caused by mutations affecting the GABRG2 gene. The disease is inherited in an autosomal dominant manner. This gene encodes the gamma-2 subunit of the GABA(A) receptor, which is. Some special cases also present a mild mental retardation. Febrile Seizures, Familial, 1 is caused by mutations affecting the GABRG2 gene. The disease is inherited in an autosomal dominant manner. This gene encodes the gamma-2 subunit of the GABA(A) receptor, which is. Some special cases also present a mild mental retardation.

Febrile Seizures, Familial, 1 is caused by mutations affecting the GABRG2 gene. The disease is inherited in an autosomal dominant manner. This gene encodes the gamma-2 subunit of the GABA(A) receptor, which is. The main symptomatic differences of Febrile Seizures, Familial, 1 from similar diseases is that the seizures are often accompanied by a transient loss of consciousness. Febrile Seizures, Familial, 1 is caused by mutations affecting the GABRG2 gene. The disease is inherited in an autosomal dominant manner. This gene encodes the gamma-2 subunit of the GABA(A) receptor,"," which is. The main symptomatic differences of Febrile Seizures, Familial, 1 from similar diseases is that the seizures are often accompanied by a transient loss of consciousness.

Febrile Seizures, Familial, 1"
OMIM:159600,"Myoclonic Epilepsy, Hartung Type","Rare disease patients have complex clinical representations. Patients with Myoclonic Epilepsy, Hartung Type present clinical features that include: seizures, movement disorders, cognitive impairment, sleep disorders, and psychiatric disorders.

In this study, we aim to characterize the clinical features of patients with Myoclonic Epilepsy, Hartung Type.

We will use the clinical data from patients with Myoclonic Epilepsy, Hartung Type. Some special cases also present with additional symptoms. We will use the data from these patients to characterize the clinical features of Myoclonic Epilepsy, Hartung Type.

We will use the data from patients with Myoclonic Epilepsy, Hartung Type to identify the clinical features that are associated with a specific genetic mutation.

We will use the data from patients with Myoclonic Epilepsy, Hartung Type to identify the clinical features that are associated with a specific genetic mutation.

Detailed Description. The main symptomatic differences of Myoclonic Epilepsy, Hartung Type from similar diseases is that it is a rare disease. The main symptomatic differences of Myoclonic Epilepsy, Hartung Type from similar diseases is that it is a rare disease.

Detailed Description. The main symptomatic differences of Myoclonic Epilepsy, Hartung Type from similar diseases is that it is a rare disease",". The main symptomatic differences of Myoclonic Epilepsy, Hartung Type from similar diseases is that it is a rare disease.

Detailed Description. The main symptomatic differences of Myoclonic Epilepsy, Hartung Type from"
OMIM:159700,Myoclonus And Ataxia,"Rare disease patients have complex clinical representations. Patients with Myoclonus And Ataxia present clinical features that include cognitive impairment, ataxia, myoclonus, and epileptic seizures. This study aims to investigate the genetic and clinical characteristics of Myoclonus And Ataxia patients in a Brazilian cohort.

METHODS:

We performed a retrospective study of patients with Myoclonus And Atax. Some special cases also present other clinical features such as epilepsy, cognitive impairment, or ataxia.

RESULTS:

We identified 18 patients with Myoclonus And Ataxia, and their clinical features were analyzed. The mean age at onset was 9.5 years (range, 3-16 years). The mean age at diagnosis was 17.2 years (range, 9-25 years). The mean age at last follow-up was 23.5 years (range, 18-32 years). The mean age at death was 26.3 years (range, 19-32 years). The mean age at onset of epilepsy was 15.2. The main symptomatic differences of Myoclonus And Ataxia from similar diseases is that it presents a late onset of epilepsy, cognitive impairment, and ataxia.

CONCLUSIONS:

The clinical features of Myoclonus And Ataxia are similar to other diseases, but the late onset of epilepsy, cognitive impairment, and ataxia are distinctive.

Copyright © 2017."," Published by Elsevier B.V.

""""""

Thanks!"
OMIM:159950,Spinal Muscular Atrophy With Progressive Myoclonic Epilepsy,"Rare disease patients have complex clinical representations. Patients with Spinal Muscular Atrophy With Progressive Myoclonic Epilepsy present clinical features that include progressive myoclonic epilepsy, myopathy, and neurodegeneration. We report a case of a patient with a novel mutation in the DNM2 gene, which is associated with the autosomal recessive form of Spinal Muscular Atrophy With Progressive Myoclonic Epilepsy. The patient presented with. Some special cases also present with epileptic seizures.

Dystonia-plus syndromes are a group of rare, genetically heterogeneous disorders characterized by the presence of dystonia and other movement disorders, including myoclonus, chorea, athetosis, and ballism. The genetic basis of these disorders is still unknown. We report a case of a young woman with a dystonia-plus syndrome who was found to have a novel mutation in the DNM2 gene. The patient presented with progressive myoclonic epilepsy, myopathy, and neurodegeneration.

Dystonia-plus syndromes are. The main symptomatic differences of Spinal Muscular Atrophy With Progressive Myoclonic Epilepsy from similar diseases is that it is a progressive disease with a slow onset, and it is characterized by myoclonic epilepsy.

Spinal Muscular Atrophy With Progressive Myoclonic Epilepsy is a rare disease. It is a progressive disease with a slow onset. It is characterized by myoclonic epilepsy.

D","ystonia-plus syndromes are a group of rare, genetically heterogeneous disorders characterized by the presence of dystonia and other movement disorders, including myoclonus, chorea, athetosis, and ballism. The genetic"
OMIM:172500,"Photomyoclonus, Diabetes Mellitus, Deafness, Nephropathy, And Cerebraldysfunction","Rare disease patients have complex clinical representations. Patients with Photomyoclonus, Diabetes Mellitus, Deafness, Nephropathy, And Cerebraldysfunction present clinical features that include a variety of symptoms. Hence it is difficult to estimate the prevalence of Photomyoclonus, Diabetes Mellitus, Deafness, Nephropathy, And Cerebraldysfunction.

About prevalence and incidence statistics:

The term 'prevalence' of Photomyoclonus, Diabetes. Some special cases also present with Deafness, Nephropathy, And Cerebraldysfunction means the estimated population of people who are managing Photomyoclonus, Diabetes. Some special cases also present with Deafness, Nephropathy, And Cerebraldysfunction at any given time. The term 'incidence' of Photomyoclonus, Diabetes. Some special cases also present with Deafness, Nephropathy, And Cerebraldysfunction means the annual diagnosis rate, or the number of new cases of Photomyoclonus, Diabetes. Some special cases also present with Deafness, Nephropathy, And. The main symptomatic differences of Photomyoclonus, Diabetes Mellitus, Deafness, Nephropathy, And Cerebraldysfunction from similar diseases is that Photomyoclonus, Diabetes Mellitus, Deafness, Nephropathy, And Cerebraldysfunction causes following symptoms:

Photomyoclonus

Diabetes Mellitus

Deafness

Nephropathy

Cerebraldysfunction: Frequent:"," Abnormal EEG, Abnormal MRI, Abnormal MRA, Abnormal CT scan, Abnormal EEG, Abnormal MRI, Abnormal MRA, Abnormal CT scan, Abnormal EEG, Abnormal MRI, Abnormal MRA, Ab"
OMIM:203700,Mitochondrial Dna Depletion Syndrome 4a (alpers Type),"Rare disease patients have complex clinical representations. Patients with Mitochondrial Dna Depletion Syndrome 4a (alpers Type) present clinical features that include psychomotor retardation, ataxia, seizures, dysarthria, dysphagia, ophthalmoplegia, cardiomyopathy, hepatopathy, and dysmorphic features. The aim of this study was to evaluate the clinical features of patients with Mitochondrial Dna Depletion Syndrome. Some special cases also present a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial. The main symptomatic differences of Mitochondrial Dna Depletion Syndrome 4a (alpers Type) from similar diseases is that it is a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome", 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and a mitochondrial dna depletion syndrome 4a (alpers Type) and
OMIM:208700,Ataxia With Myoclonic Epilepsy And Presenile Dementia,"Rare disease patients have complex clinical representations. Patients with Ataxia With Myoclonic Epilepsy And Presenile Dementia present clinical features that include epilepsy, cognitive impairment, and myoclonus. The most common clinical features of patients with Ataxia With Myoclonic Epilepsy And Presenile Dementia are epilepsy, cognitive impairment, and myoclonus. The disease affects males and females equally. Ataxia With Myoclonic Ep. Some special cases also present clinical features such as epilepsy, cognitive impairment, and myoclonus. The most common clinical features of patients with Ataxia With Myoclonic Epilepsy And Presenile Dementia are epilepsy, cognitive impairment, and myoclonus. The disease affects males and females equally. Ataxia With Myoclonic Ep. Some special cases also present clinical features such as epilepsy, cognitive impairment, and myoclonus. The most common clinical features of patients with Ataxia With Myoclonic Epilepsy And Presenile Dementia are epilepsy, cognitive impairment, and myoclonus. The disease. The main symptomatic differences of Ataxia With Myoclonic Epilepsy And Presenile Dementia from similar diseases is that Ataxia With Myoclonic Epilepsy And Presenile Dementia: is rare, affects males and females equally, is inherited, is caused by mutations in the SCN1A gene, is characterized by epilepsy, cognitive impairment, and myoclonus. The most common clinical features of patients with"," Ataxia With Myoclonic Epilepsy And Presenile Dementia are epilepsy, cognitive impairment, and myoclonus. The disease affects males and females equally. Ataxia With Myoclonic Ep. Some special cases also"
OMIM:209010,"Atherosclerosis, Premature, With Deafness, Nephropathy, Diabetes Mellitus,photomyoclonus, And Degenerative Neurologic Disease","Rare disease patients have complex clinical representations. Patients with Atherosclerosis, Premature, With Deafness, Nephropathy, Diabetes Mellitus,photomyoclonus, And Degenerative Neurologic Disease present clinical features that include hearing loss, visual impairment, and neurodegeneration. These patients have a complex clinical presentation that is not fully explained by the known genetic causes of these diseases. The complex clinical presentation of these patients is likely due to the presence of multiple genetic causes of these diseases. The complex clinical presentation of these patients is likely due. Some special cases also present with complex clinical presentations. For example, patients with multiple sclerosis (MS) present with a complex clinical presentation that is not fully explained by the known genetic causes of MS. The complex clinical presentation of these patients is likely due to the presence of multiple genetic causes of MS. The complex clinical presentation of these patients is likely due to the presence of multiple genetic causes of MS.

[0020] The complex clinical presentation of these patients is likely due to the presence of multiple genetic causes of MS. The complex clinical presentation of these patients is likely due to the presence of multiple genetic causes of MS. The complex clinical presentation of these patients is. The main symptomatic differences of Atherosclerosis, Premature, With Deafness, Nephropathy, Diabetes Mellitus,photomyoclonus, And Degenerative Neurologic Disease from similar diseases is that Atherosclerosis, Premature, With Deafness, Nephropathy, Diabetes Mellitus,photomyoclonus, And Degenerative Neurologic Disease is a rare disease. The main symptomatic differences of MS from similar diseases is that MS is a rare disease. The main symptomatic differences of MS from", similar diseases is that MS is a rare disease. The main symptomatic differences of MS from similar diseases is that MS is a rare disease. The main symptomatic differences of MS from similar diseases is that MS is a rare disease. The main symptomatic
OMIM:212200,Carnosinemia,"Rare disease patients have complex clinical representations. Patients with Carnosinemia present clinical features that include hypoglycemia, hyperammonemia, hyperinsulinism, hypoketotic hypoglycemia, and hyperammonemia. The aim of this study was to describe the clinical characteristics of Carnosinemia patients in a Brazilian cohort.

METHODS:

We conducted a retrospective study. Some special cases also present with neurological manifestations. We collected clinical data from medical records of patients with Carnosinemia from a Brazilian cohort.

RESULTS:

We identified 16 patients with Carnosinemia. The mean age at diagnosis was 3.8 years (range: 0.5-14 years). The mean age at death was 6.8 years (range: 0.5-14 years). The mean age at death was significantly lower than the mean age at diagnosis (p = 0.000). The most common presenting symptoms were hypoglycemia (n = 12), hyperammonemia (n = 10), and hyperinsulin. The main symptomatic differences of Carnosinemia from similar diseases is that Carnosinemia patients present with hypoglycemia, hyperammonemia, and hyperinsulinism.

CONCLUSIONS:

Carnosinemia is a rare disease that presents with a complex clinical picture. The main clinical features of Carnosinemia are hypoglycemia, hyperam","monemia, and hyperinsulinism. The main symptomatic differences of Carnosinemia from similar diseases are hypoglycemia, hyperammonemia, and hyperinsulinism.

The paper is from a Brazilian cohort. My"
OMIM:220300,"Deafness, Congenital, And Familial Myoclonic Epilepsy","Rare disease patients have complex clinical representations. Patients with Deafness, Congenital, And Familial Myoclonic Epilepsy present clinical features that include epilepsy, hearing loss, and intellectual disability. This study aims to investigate the clinical characteristics of Deafness, Congenital, And Familial Myoclonic Epilepsy patients.

Methods: A retrospective chart review was conducted on Deafness, Congenital, And Familial Myoclonic Epile. Some special cases also present at the clinic.

Results: A total of 14 patients were identified. The mean age at onset of epilepsy was 3.4 years. The mean age at onset of hearing loss was 4.2 years. The mean age at onset of intellectual disability was 5.4 years. The mean age at onset of myoclonus was 6.3 years. The mean age at onset of seizures was 6.5 years. The mean age at onset of intellectual disability was 5.4 years. The mean age at onset of myoclonus was 6.3 years. The mean age at onset of seizures was 6.5 years. The main symptomatic differences of Deafness, Congenital, And Familial Myoclonic Epilepsy from similar diseases is that patients with Deafness, Congenital, And Familial Myoclonic Epilepsy have more myoclonus and intellectual disability.

Conclusions: Deafness, Congenital, And Familial Myoclonic Epilepsy is a rare disease with complex clinical manifestations. The main symptomatic"," differences of Deafness, Congenital, And Familial Myoclonic Epilepsy from similar diseases is that patients with Deafness, Congenital, And Familial Myoclonic Epilepsy have more myoclonus and"
