DISEASE_ID,DISEASE_NAME
OMIM:121210,"Febrile Seizures, Familial, 1"
OMIM:159600,"Myoclonic Epilepsy, Hartung Type"
OMIM:159700,Myoclonus And Ataxia
OMIM:159950,Spinal Muscular Atrophy With Progressive Myoclonic Epilepsy
OMIM:172500,"Photomyoclonus, Diabetes Mellitus, Deafness, Nephropathy, And Cerebraldysfunction"
OMIM:203700,Mitochondrial Dna Depletion Syndrome 4a (alpers Type)
OMIM:208700,Ataxia With Myoclonic Epilepsy And Presenile Dementia
OMIM:209010,"Atherosclerosis, Premature, With Deafness, Nephropathy, Diabetes Mellitus,photomyoclonus, And Degenerative Neurologic Disease"
OMIM:212200,Carnosinemia
OMIM:220300,"Deafness, Congenital, And Familial Myoclonic Epilepsy"
OMIM:226800,"Epilepsy, Photogenic, With Spastic Diplegia And Mental Retardation"
OMIM:230600,"Gm1-gangliosidosis, Type Ii"
OMIM:231000,"Gaucher Disease, Type Iii"
OMIM:235830,Histidinuria Due To A Renal Tubular Defect
OMIM:236900,Hydroxylysinuria
OMIM:238970,Hyperornithinemia-hyperammonemia-homocitrullinuria Syndrome
OMIM:239500,"Hyperprolinemia, Type I"
OMIM:251280,"Microcephaly, Seizures, Spasticity, And Brain Calcifications"
OMIM:254770,"Epilepsy, Myoclonic Juvenile"
OMIM:254780,Myoclonic Epilepsy Of Lafora
OMIM:254800,Myoclonic Epilepsy Of Unverricht And Lundborg
OMIM:254900,"Epilepsy, Progressive Myoclonic, 4, With Or Without Renal Failure"
OMIM:257300,Mosaic Variegated Aneuploidy Syndrome 1
OMIM:257320,Lissencephaly 2
OMIM:259720,"Osteopetrosis, Autosomal Recessive 5"
OMIM:266100,"Epilepsy, Pyridoxine-dependent"
OMIM:271245,Mitochondrial Dna Depletion Syndrome 7 (hepatocerebral Type)
OMIM:271900,Canavan Disease
OMIM:271980,Succinic Semialdehyde Dehydrogenase Deficiency
OMIM:300088,"Epileptic Encephalopathy, Early Infantile, 9"
OMIM:300243,"Mental Retardation, X-linked, Syndromic, Christianson Type"
OMIM:300388,"Polymicrogyria, Bilateral Perisylvian"
OMIM:300672,"Epileptic Encephalopathy, Early Infantile, 2"
OMIM:300801,Chromosome Xp11.23-p11.22 Duplication Syndrome
OMIM:300842,Mcleod Syndrome
OMIM:300848,"Mental Retardation, X-linked 89"
OMIM:300849,"Mental Retardation, X-linked 41"
OMIM:300868,Multiple Congenital Anomalies-hypotonia-seizures Syndrome 2
OMIM:300912,"Mental Retardation, X-linked 98"
OMIM:301020,"Mitochondrial Complex I Deficiency, Nuclear Type 12"
OMIM:308350,"Epileptic Encephalopathy, Early Infantile, 1"
OMIM:310370,"Myoclonic Epilepsy, Progressive"
OMIM:311400,Paine Syndrome
OMIM:545000,Myoclonic Epilepsy Associated With Ragged-red Fibers
OMIM:600131,"Epilepsy, Childhood Absence, Susceptibility To, 1"
OMIM:600176,"Pachygyria With Mental Retardation, Seizures, And Arachnoid Cysts"
OMIM:600669,"Epilepsy, Idiopathic Generalized"
OMIM:601068,"Epilepsy, Familial Adult Myoclonic, 1"
OMIM:601764,"Seizures, Benign Familial Infantile, 1"
OMIM:602066,"Convulsions, Familial Infantile, With Paroxysmal Choreoathetosis"
OMIM:602477,"Febrile Seizures, Familial, 2"
OMIM:603204,"Epilepsy, Nocturnal Frontal Lobe, 2"
OMIM:604233,"Generalized Epilepsy With Febrile Seizures Plus, Type 1"
OMIM:604352,"Febrile Seizures, Familial, 4"
OMIM:604403,"Generalized Epilepsy With Febrile Seizures Plus, Type 2"
OMIM:605013,Microhydranencephaly
OMIM:605021,"Myoclonic Epilepsy, Familial Infantile"
OMIM:605751,"Seizures, Benign Familial Infantile, 2"
OMIM:606369,Macrocephaly And Epileptic Encephalopathy
OMIM:606812,Fumarase Deficiency
OMIM:607208,Dravet Syndrome
OMIM:607628,Epilepsy With Grand Mal Seizures On Awakening
OMIM:607631,"Epilepsy, Juvenile Absence"
OMIM:607681,"Febrile Seizures, Familial, 8"
OMIM:607682,"Epilepsy, Idiopathic Generalized, Susceptibility To, 9"
OMIM:608096,"Epilepsy, Familial Temporal Lobe, 2"
OMIM:609056,Salt And Pepper Developmental Regression Syndrome
OMIM:609253,"Febrile Seizures, Familial, 6"
