file,text,HPO_symptoms,HPO_code
1003450,"Brachydactyly syndrome (lack of some middle or distal phalanges), nails or hypoplastics, symphalangism (ankylois of the proximal interphalangeal joints), synostosis of some carpal and tarsal bones, craniosynostosis and dysplastic joints are reported in five members of an Italian family. Hip. It can be an autosomal dominant trait that has not been previously described.","[""Brachydactyly"", ""Lack of some middle or distal phalanges"", ""Flat or hypoplastic nails"", ""Hypoplastic nails"", ""Symphalangism"", ""Ankylois of the proximal interphalangeal joints"", ""Synostosis of some carpal bones and"" of the tarsus. "","" Craniosynostosis "","" dysplastic hip joints "","" autosomal dominant feature "","" autosomal dominant "","" dominant "","" dominant feature "".]","['0001156', '0009881', '0001798', '0001792', '0100264', '0008090', '0009702', '0001363', '0001385', '0000006', '0000006', '0000006', '0000006']"
10051003,"Townes-Brock syndrome (TBS) is an autosomal dominant disorder with multiple malformations and variable expression. The most important findings include abnormalities in the outer ear, hearing loss, polydactyly preaxial and three-phalangeal thumbs, imperforate anus and kidney malformations. Most Townes-Brock syndrome patients have normal intelligence, although mental disability has been observed in some patients.","[""autosomal dominant disorder"", ""autosomal dominant"", ""dominant"", ""variable expression"", ""variable"", ""abnormalities of the outer ear"", ""abnormalities of the ear"", ""hearing loss"", ""polydactyly preaxial"". ',' Polydactyly ',' three-phalangeal thumb ',' imperforate anus', 'kidney malformations',' intellectual disability ',' disability ']","['0000006', '0000006', '0000006', '0003828', '0003813', '0000356', '0000598', '0000365', '0001177', '0010442', '0001199', '0002023', '0000792', '0001249', '0001249']"
10066029,"Nevoid Basal Cell Carcinoma Syndrome (NBCCS) is an inherited disorder that is transmitted as an autosomal dominant trait with full penetrance and variable expressivity. The syndrome is characterized by numerous basal cell carcinomas (CB), odontogenic keratocysts of the jaw, palmar and / or plantar fossa, skeletal anomalies and intracranial calcifications. In this work the clinical features of 37 Italian patients are examined. Mandibular cysts and sickle-cerebral calcification were the most frequently observed anomalies, followed by CB and Palmar / Plantar fossae. As with African Americans, the relatively low incidence of CB in the Italian population is likely due to the protective pigmentation of the skin. A future search based on the screening of the mutation could identify a possible genotype-phenotype correlation in Italian patients.","[""Basal cell carcinoma"", ""autosomal dominant"", ""autosomal dominant trait"", ""dominant trait"", ""dominant"", ""variable expressivity"", ""variable"", ""basal cell carcinoma"", ""odontogenic keratocysts"". "","" Keratocysts in the upper jaw "","" Palmar and / or plantar pits "","" Plantar pits "","" Pits "","" Skeletal anomalies "","" Intracranial calcifications "","" Lower jaw cysts "","" Calcifications ""de hoz cerebri. ',' CB ' , 'Palmar / Plantar pits', 'Plantar pits', 'Pits']","['0002671', '0000006', '0000006', '0000006', '0000006', '0003828', '0003813', '0002671', '0010603', '0010603', '0010612', '0010612', '0004467', '0000924', '0002514', '0010603', '0005462', '0002671', '0010610', '0010612', '0004467']"
10196695,Angelica syndrome (AD) is a neurological development disorder caused by the lack of a maternal contribution to chromosome 15q11-q13. There are four classes of AS by molecular or cytogenetic status: 15q11-q13 maternal microdeletion (approximately 70% of patients); uniparental uniparental (UPD); Defects in an alleged printing center (IM); The fourth group comprises 20 to 30% of people with biparental inheritance and a normal allelic methylation pattern in 15q11-q13. It has recently been found that mutations in UBE3A cause this latter group. Few studies have examined phenotypic differences between these classes. Twenty non-deletions were compared to 20 patients with age deletion and significant phenotypic differences were found between the two groups. The most severe phenotype in the deletion group can indicate a coherent gene syndrome.,"['Neuro-developmental disorder', 'coherent gene syndrome'.]","['0000707', '0001466']"
10417280,"Prader-Willi syndrome (PWS) and Angel syndrome (EA) are different neurological behavior disorders that are most often due to a 4 MB deletion of chromosome 15q11-q13 during maternal and maternal gametogenesis. With a de novo frequency of approximately 67-1 / 10,000 deliveries, these deletions represent a frequent structural change in the chromosome in the human genome. To elucidate the mechanism underlying these events, regions were characterized that have two groups of proximal intersections and one distal cluster included. New DNA sequences that may be associated with cutpoints have been positionally cloned from YACs within or near these regions. Analysis of somatic cell hybrids of rodents, YAC contigs and fish from normal or rearranged chromosomes 15 identified duplicate sequences (the last iterations) at or near the border points. The final repeat units come from large genomic duplications of a new gene (HERC2), many copies of which are transcriptionally active in germ tissue. One of the five PWS / AS patients analyzed so far has an identifiable and rearranged HERC2 transcript derived from the deletion event. It is postulated that the end repeats the 15q11-q13 edge by mediating homologous recombination, resulting in the deletion. In addition, we suggest that active transcription of these repeats into male and female gametes can facilitate the process of homologous recombination.","[""Neurobehavioral Disorders"", ""de Novo""]","['0000708', '0003745']"
10440824,"We present the description of a 14-month-old girl with unilateral congenital cholesteatoma and abnormalities of the facial nerve as well as the most common malformations of the arches of the branches, otus and kidneys that form the oto-renal syndrome (BOR). Her mother also has BOR syndrome and unilateral doubling of the facial nerve. This is the first study of a BOR patient with congenital cholesteatoma and the second family that describes cholesteatoma and facial nerve abnormalities in patients with BO / BOR syndrome. The literature on congenital cholesteatoma is reviewed and hypotheses regarding the pathogenesis of this entity are discussed in the light of this new report.","['Cholesteatoma', 'Facial nerve abnormalities', 'Branching, otik and kidney malformations.', 'Branching', 'Otikus and kidney malformations.', 'Kidney malformations.', 'Unilateral doubling of the facial nerve.' ',' Cholesteatoma ',' Cholesteatoma ',' Facial nerve abnormalities', 'Cholesteatoma']","['0009797', '0010827', '0009794', '0009794', '0000598', '0000792', '0010827', '0009797', '0009797', '0010827', '0009797']"
10482951,"The clinical features of Angelica syndrome (AD) include severe intellectual disability, postnatal microcephaly, macrostomy and prognosis, speechlessness, ataxia and happy disposition. We present seven patients who lack most of these traits but who suffer from obesity, muscle hypotension and mild intellectual disabilities. On the basis of these latter findings, the patients were initially suspected of Prader-Willi syndrome. However, DNA methylation analysis of SNRPN and D15S63 revealed a pattern of AS, i.e. H. The maternal bond was weak or absent. Cytogenetic studies and microsatellite analysis apparently showed normal chromosomes 15 of biparental inheritance. We conclude that these patients have an imprint defect and a previously unrecognized form of AS. The mild phenotype can be explained by an incomplete printing error or by cellular mosaicism.","[""severe intellectual disability"", ""intellectual disability"", ""disability"", ""postnatal microcephaly"", ""microcephaly"", ""macrostomy"", ""prognathy"", ""speechlessness"", ""ataxia"", ""happy disposition"". ',' Obesity ',' Muscle Hypotension ',' Hypotension ',' Slight Mental Disability ',' Mental Disability ',' Disability ']","['0002187', '0001249', '0001249', '0005484', '0000252', '0000181', '0000303', '0001617', '0001251', '0100024', '0001513', '0001252', '0001252', '0001256', '0001249', '0001249']"
10593995,"Pterygium popliteal syndrome (PPS) is a rare autosomal dominant disorder that is thought to occur with an incidence of approximately 1 in 300,000 live births. The main clinical manifestations are popliteal, cleft lip, cleft palate, lower lip fossa, syndactyly, and genital and nail abnormalities. This article describes the clinical features of two families with PPS and a single case and shows the range of abnormalities found both within and between families. PPS has some things in common with Van der Woude syndrome (VWS), which is also inherited as an autosomal dominant disease with cleft lip / palate, and in particular lower lip pits. Although the VWS gene has not yet been identified, it has been localized to 1.6 cM in the 1q32-41 region. To determine whether PPS and VWS are allelic forms of the same gene, three families were genotypic for markers that flank and are located within the critical region. A multipoint LOD score of 2.7 was obtained with no evidence of recombination, which supports the hypothesis that these two disorders are allelic.","[""Popliteal pterygium"", ""Pterygium"", ""autosomal dominant disorder"", ""Autosomal dominant"", ""Dominant"", ""Popliteal"", ""lip cleft, cleft lip"", ""lip cleft"", ""cleft lip"". "","" Lower lip pits "","" lip pits "","" pits "","" syndactyly "","" genital and nail anomalies "","" nail anomalies "","" individual case "","" autosomal dominant "","" dominant "","" lip cleft / cleft lip "","" lip cleft "","" Lower lip pits "","" lip pits "","" pits ""]","['0009756', '0001059', '0000006', '0000006', '0000006', '0009756', '0000202', '0100333', '0000175', '0000196', '0000196', '0004467', '0001159', '0000078', '0001597', '0001420', '0000006', '0000006', '0000202', '0100333', '0000196', '0000196', '0004467']"
10631923,"Townes-Brock syndrome (TBS) has been identified as a dominant inherited syndrome. We present 2 cases of TBS. Case 1 was operated on for the imperforate anus. The abnormalities of the thumb and trifalangeal ear were remarkable. Deafness was diagnosed when the patient was 6 months old. Anomalies of the semicircular canals and incus with inculomalleolar fusion were shown when the patient was 3.5 years old. Abdominal pain occurred again and again in childhood. Hereditary angioneurotic edema (HANE) was diagnosed. HANE was a family like the father, the father's brother, and the paternal grandmother were also affected. Parents in case 2, a woman, have mild intellectual disabilities. This was the mother's first pregnancy, which was short. The boy had an anus positioned, forked right thumb, big fingers, low ears, microretrognathy and numbness. Translocation (5, 16) was observed in a child with TBS. A gene encoding a SALL1 transcription factor was identified on the 16q 21.1 cutoff and mutations in the putative zinc finger of SALL1 were shown to cause TBS.","['Dominant', 'Dominant hereditary', 'Imperforated anus',' Trifalangeal thumb ',' Ear abnormalities', 'Deafness',' Anomalies of the semicircular duct ',' Anomalies of the semicircular duct and anvil. "","" inculomalleolar fusion "","" childhood "","" episodes of abdominal pain "","" abdominal pain "","" pain "","" edema "","" mild intellectual disability "","" intellectual disability "","" retarded "","" short stature "","" antepositioned Anus "","" two-part right thumb "","" big fingers "","" low ears "","" microretrognatia "","" deafness ""]","['0000006', '0000006', '0002023', '0001199', '0000598', '0000404', '0011380', '0011453', '0005473', '0011463', '0002574', '0002027', '0012531', '0000969', '0001256', '0001249', '0001263', '0004322', '0001545', '0009944', '0010511', '0000369', '0000308', '0000404']"
10712204,"Brachydactyly type A-1 (BDA1) was the first recorded example of a human anomaly with autosomal dominant Mendelian inheritance in 1903. Two large families whose affected members were radiographed were included in the study described here. Two-point linkage analysis for family tree 1 (maximum LOD score [Zmax] 6.59 in the recombination fraction [theta] 0.00) and for family tree 2 (Zmax = 5.53 in even theta = 0.00) the location for BDA1 in both families with chromosomal 2Q. Analysis of family tree 1 haplotypes restricted the location for family 1 in a range of <8.1 cM, flanked by D2S2248 and D2S360 markers, which were shown on the cytogenetic map on chromosome 2q35-q36. Analysis of the pedigree 2 haplotype restricted the location for family 2 to an area of ​​<28.8 cM flanked by GATA30E06 and D2S427 markers located on chromosome 2q35-q37. The two families did not have an identical haplotype within the defined region, suggesting that the two families were not related.","['Brachydactyly type A-1', 'BDA1', 'autosomal dominant', 'autosomal dominant inheritance', 'dominant inheritance', 'dominant']","['0009371', '0009371', '0000006', '0000006', '0000006', '0000006']"
