,file,text,HPO_symptoms,HPO_code
0,1003450,"Brachydactyly syndrome (absence of some middle or distal phalanges), nails or hypoplastics, symphalangism (ankylois of proximal interphalangeal joints), synostosis of some carpal and tarsal bones, craniosynostosis and dysplastic joints are reported in five members of an Italian family. Hip. It may represent an autosomal dominant feature not previously described.","['brachydactyly', 'absence of some middle or distal phalanges.', 'flat or hypoplastic nails',' hypoplastic nails', 'symphalangism', 'ankylois of proximal interphalangeal joints.', 'synostosis of some carpal bones and of the tarsus. ',' craniosynostosis', 'dysplastic hip joints.', 'autosomal dominant trait.', 'autosomal dominant.', 'dominant', 'dominant trait.']","['0001156', '0009881', '0001798', '0001792', '0100264', '0008090', '0009702', '0001363', '0001385', '0000006', '0000006', '0000006', '0000006']"
1,10051003,"Townes-Brock syndrome (TBS) is an autosomal dominant disorder with multiple malformations and variable expression. The main findings include abnormalities in the external ear, hearing loss, polydactyly preaxial and three-phalangeal thumbs, imperforate anus, and kidney malformations. Most patients with Townes-Brock syndrome have normal intelligence, although mental retardation has been observed in a few.","['autosomal dominant disorder.', 'autosomal dominant.', 'dominant', 'variable expression.', 'variable', 'abnormalities of the outer ear.', 'abnormalities of the ear.', 'hearing loss',' polydactyly preaxial . ',' polydactyly ',' three-phalangeal thumbs. ',' imperforate anus. ',' kidney malformations. ',' mental retardation. ',' retardation ']","['0000006', '0000006', '0000006', '0003828', '0003813', '0000356', '0000598', '0000365', '0001177', '0010442', '0001199', '0002023', '0000792', '0001249', '0001249']"
2,10066029,"Nevoid basal cell carcinoma syndrome (NBCCS) is an inherited disease transmitted as an autosomal dominant trait with full penetrance and variable expressivity. The syndrome is characterized by numerous basal cell carcinomas (CB), odontogenic keratocysts of the jaws, palmar and / or plantar fossae, skeletal abnormalities, and intracranial calcifications. In this work the clinical characteristics of 37 Italian patients are reviewed. Mandibular cysts and sickle cerebri calcification were the most frequently observed abnormalities, followed by CB and Palmar / plantar fossae. Like the case of African Americans, the relatively low frequency of CB in the Italian population is probably due to the protective pigmentation of the skin. A future search based on the screening of the mutation could establish a possible genotype-phenotype correlation in Italian patients.","['basal cell carcinoma.', 'autosomal dominant.', 'autosomal dominant trait.', 'dominant trait.', 'dominant', 'variable expressivity.', 'variable', 'basal cell carcinomas.', 'odontogenic keratocysts. ',' maxillary keratocysts. ',' Palmar and / or plantar pits. ',' plantar pits. ',' pits ',' skeletal abnormalities. ',' intracranial calcifications. ',' Mandibular cysts. ',' calcification de hoz cerebri. ',' CB ',' Palmar / plantar pits. ',' plantar pits. ',' pits']","['0002671', '0000006', '0000006', '0000006', '0000006', '0003828', '0003813', '0002671', '0010603', '0010603', '0010612', '0010612', '0004467', '0000924', '0002514', '0010603', '0005462', '0002671', '0010610', '0010612', '0004467']"
3,10196695,Angelica syndrome (AD) is a neurodevelopmental disorder caused by the absence of a maternal contribution to chromosome 15q11-q13. There are four classes of AS according to molecular or cytogenetic status: 15q11-q13 maternal microdeletion (approximately 70% of patients); uniparental uniparental (UPD); defects in an alleged print center (IM); the fourth includes 20-30% of individuals with biparental inheritance and a normal allelic methylation pattern in 15q11-q13. Mutations of UBE3A have recently been identified as causing this latter group. Few studies have investigated phenotypic differences between these classes. Twenty non-deletions were compared to 20 patients with age deletion and significant phenotypic differences were found between both groups. The most severe phenotype in the deletion group may suggest a contiguous gene syndrome.,"['neurodevelopmental disorder', 'contiguous gene syndrome.']","['0000707', '0001466']"
4,10417280,"Prader-Willi syndrome (PWS) and Angel syndrome (EA) are different neurobehavioral disorders that most often originate from a 4 MB deletion of chromosome 15q11-q13 during paternal or maternal gametogenesis, respectively. At a de novo frequency of approximately 67-1 / 10,000 deliveries, these deletions represent a common structural change of the chromosome in the human genome. To elucidate the mechanism underlying these events, regions containing two groups of proximal cut points and one distal cluster have been characterized. Novel DNA sequences potentially associated with cutpoints were positionally cloned from YACs within or near these regions. Analysis of rodent somatic cell hybrids, YAC contigs, and fish from normal or rearranged chromosomes 15 identified duplicate sequences (the final repeats) at or near the cut-off points. The final repeat units are derived from large genomic duplications of a new gene (HERC2), many copies of which are transcriptionally active in germ tissues. One of the five PWS / AS patients analyzed to date has an identifiable and rearranged HERC2 transcript derived from the deletion event. The end is postulated to repeat the 15q11-q13 flank by mediating homologous recombination resulting in deletion. Furthermore, we propose that active transcription of these repeats in male and female germ cells can facilitate the process of homologous recombination.","['neurobehavioral disorders', 'de Novo']","['0000708', '0003745']"
5,10440824,"We present the description of a 14-month-old girl with unilateral congenital cholesteatoma and abnormalities of the facial nerve, in addition to the most frequent malformations of the branchial, otic, and renal arch that form the oto-renal syndrome (BOR). Her mother also has BOR syndrome and unilateral duplication of the facial nerve. This is the first study of a BOR patient with congenital cholesteatoma and the second family describing cholesteatoma and facial nerve abnormalities in patients with BO / BOR syndrome. The literature on congenital cholesteatoma is reviewed and hypotheses on the pathogenesis of this entity are discussed in light of this new report.","['Cholesteatoma', 'Facial nerve abnormalities.', 'Branchial, otic, and renal malformations.', 'Branchial', 'Otic and renal malformations.', 'Renal malformations.', 'Unilateral duplication of the facial nerve. ',' cholesteatoma ',' cholesteatoma ',' facial nerve abnormalities. ',' cholesteatoma ']","['0009797', '0010827', '0009794', '0009794', '0000598', '0000792', '0010827', '0009797', '0009797', '0010827', '0009797']"
6,10482951,"The clinical features of Angelica syndrome (AD) include severe mental retardation, postnatal microcephaly, macrostomy and prognathia, absence of speech, ataxia, and happy disposition. We present seven patients who lack most of these characteristics, but who have obesity, muscle hypotonia and mild mental retardation. Based on these latter findings, the patients were initially suspected of suffering from Prader-Willi syndrome. DNA methylation analysis of SNRPN and D15S63, however, revealed a pattern of AS, i.e. the maternal band was weak or absent. Cytogenetic studies and microsatellite analysis showed apparently normal chromosomes 15 of biparental inheritance. We conclude that these patients have an imprint defect and a previously unrecognized form of AS. The mild phenotype can be explained by an incomplete printing defect or by cellular mosaicism.","['severe mental retardation.', 'mental retardation.', 'retardation', 'postnatal microcephaly.', 'microcephaly', 'macrostomia', 'prognathia', 'speechlessness.', 'ataxia', 'happy disposition . ',' obesity ',' muscle hypotonia. ',' hypotonia ',' mild mental retardation. ',' mental retardation. ',' retardation ']","['0002187', '0001249', '0001249', '0005484', '0000252', '0000181', '0000303', '0001617', '0001251', '0100024', '0001513', '0001252', '0001252', '0001256', '0001249', '0001249']"
7,10593995,"Pterygium popliteal syndrome (PPS) is a rare autosomal dominant disorder, believed to occur with an incidence of approximately 1 in 300,000 live births. The main clinical manifestations are popliteal, cleft lip, palatal fissure, fossa of the lower lip, syndactyly, and genital and nail abnormalities. This article describes the clinical characteristics of two families with PPS and an isolated case, showing the range of abnormalities found both within and between families. PPS has some features in common with van der Woude syndrome (VWS), which is also inherited as an autosomal dominant condition, with cleft lip / palate and, more distinctively, lower lip pits. Although the VWS gene has not yet been identified, it has been localized to within 1.6 cM in the 1q32-41 region. To determine whether PPS and VWS represent allelic forms of the same gene, three families were genotypic for markers flanking and within the critical region. A multipoint LOD score of 2.7 was obtained, with no evidence of recombination, supporting the hypothesis that these two disorders are allelic.","['Popliteal pterygium.', 'Pterygium', 'autosomal dominant disorder.', 'Autosomal dominant.', 'Dominant', 'popliteal', 'cleft lip, cleft palate', 'cleft lip.', 'Cleft palate. ',' lower lip pits ',' lip pits ',' pits ',' syndactyly ',' genital and nail abnormalities. ',' nail abnormalities. ',' isolated case. ',' autosomal dominant. ',' dominant ',' cleft lip / cleft palate ',' cleft lip. ',' lower lip pits', 'lip pits',' pits']","['0009756', '0001059', '0000006', '0000006', '0000006', '0009756', '0000202', '0100333', '0000175', '0000196', '0000196', '0004467', '0001159', '0000078', '0001597', '0001420', '0000006', '0000006', '0000202', '0100333', '0000196', '0000196', '0004467']"
8,10631923,"Townes-Brock syndrome (TBS) has been recognized as a dominant inherited syndrome. We present 2 cases of TBS. Case 1 was operated on for the imperforate anus. The abnormalities of the thumb and trifalangeal ear were notable. Deafness was diagnosed when the patient was 6 months old. Anomalies of the semicircular canals and the incus with inculomalleolar fusion were shown when the patient was 3.5 years old. Recurrent episodes of abdominal pain appeared during childhood. The diagnosis of hereditary angioneurotic edema (HANE) was made. HANE was family like the father, the father's brother and the great paternal mother were also affected. Parents in Case 2, a woman, have mild mental retardation. This was the first pregnancy of the mother who was short. The boy had an antepositioned anus, forked right thumb, big fingers, low ears, microretrognathia and deafness. A translocation (5, 16) was observed in one child with TBS. At the 16q 21.1 cut-off point, a gene encoding a SALL1 transcription factor has been identified and mutations in the putative zinc finger of SALL1 have been shown to cause TBS.","['Dominant', 'Dominant hereditary', 'Imperforate anus.', 'Trifalangeal thumb.', 'Ear abnormalities.', 'Deafness',' Semicircular duct abnormalities. ',' Semicircular duct abnormalities and anvil. ',' inculomalleolar fusion. ',' childhood ',' episodes of abdominal pain. ',' abdominal pain ',' pain ',' edema ',' mild mental retardation ',' mental retardation ',' retarded ' , 'short stature.', 'antepositioned anus.', 'bifid right thumb.', 'big fingers', 'low ears', 'microretrognatia', 'deafness']","['0000006', '0000006', '0002023', '0001199', '0000598', '0000404', '0011380', '0011453', '0005473', '0011463', '0002574', '0002027', '0012531', '0000969', '0001256', '0001249', '0001263', '0004322', '0001545', '0009944', '0010511', '0000369', '0000308', '0000404']"
9,10712204,"Brachydactyly type A-1 (BDA1) was, in 1903, the first recorded example of a human abnormality with autosomal dominant Mendelian inheritance. Two large families, the affected members of whom were radiographed, were recruited into the study that we describe here. Two-point linkage analysis for pedigree 1 (maximum LOD score [Zmax] 6.59 in the recombination fraction [Theta] 0.00) and for pedigree 2 (Zmax = 5.53 in straight Theta = 0.00) plotted the locus for BDA1 in both families at chromosomal 2Q. Analysis of pedigree 1 haplotypes confined the locus for family 1 within a range of <8.1 cM flanked by D2S2248 and D2S360 markers, which was mapped to chromosome 2q35-q36 on the cytogenetic map. Analysis of the pedigree 2 haplotype confined the locus for family 2 at a range of <28.8 cM flanked by GATA30E06 and D2S427 markers, which was located on chromosome 2q35-q37. The two families did not have an identical haplotype within the defined region, suggesting that the two families were unrelated.","['Brachydactyly type A-1', 'BDA1', 'autosomal dominant.', 'Autosomal dominant inheritance.', 'Dominant inheritance.', 'Dominant']","['0009371', '0009371', '0000006', '0000006', '0000006', '0000006']"
