,Archivo,Texto_espanol,Texto_inglés,HPO_síntomas,HPO_código
0,1003450,"En cinco miembros de una familia italiana se reporta un síndrome de brachydactyly (ausencia de algunas falanges medias o distales), clavos o hipoplásticos, symphalangism (ankylois de articulaciones interfalanges proximales), Sinostosis de algunos huesos del carpo y del tarso, craneosinostosis y articulaciones displásticas de cadera. Puede representar una característica autosómica dominante no descrita previamente.","A syndrome of brachydactyly (absence of some middle or distal phalanges), aplastic or hypoplastic nails, symphalangism (ankylois of proximal interphalangeal joints), synostosis of some carpal and tarsal bones, craniosynostosis, and dysplastic hip joints is reported in five members of an Italian family. It may represent a previously undescribed autosomal dominant trait.","['brachydactyly', 'ausencia de algunas falanges medias o distales.', 'clavos aplastales o hipoplásticos', 'uñas hipoplásticas', 'symphalangism', 'ankylois de las articulaciones interfalanges proximales.', 'Sinostosis de algunos huesos del carpo y del tarso.', 'craneosinostosis', 'articulaciones de cadera displásticas.', 'rasgo autosómica dominante.', 'autosómica dominante.', 'dominante', 'rasgo dominante.']","['0001156', '0009881', '0001798', '0001792', '0100264', '0008090', '0009702', '0001363', '0001385', '0000006', '0000006', '0000006', '0000006']"
1,10051003,"El síndrome de Townes-Brock (TBS) es un trastorno autosómica dominante con múltiples malformaciones y expresión variable. Los hallazgos principales incluyen anomalías en el oído externo, hipoacusia, preaxiales polydactyly y pulgares trifalangeales, ano imperforado y malformaciones renales. La mayoría de los pacientes con síndrome de Townes-Brock tienen una inteligencia normal, aunque en unos pocos se ha observado retraso mental.","Townes-Brocks syndrome (TBS) is an autosomal dominant disorder with multiple malformations and variable expression. Major findings include external ear anomalies, hearing loss, preaxial polydactyly and triphalangeal thumbs, imperforate anus, and renal malformations. Most patients with Townes-Brocks syndrome have normal intelligence, although mental retardation has been noted in a few.","['trastorno autosómico dominante.', 'autosómica dominante.', 'dominante', 'expresión variable.', 'variable', 'anomalías del oído externo.', 'anomalías del oído.', 'hipoacusia', 'polydactyly preaxial.', 'polydactyly', 'pulgares trifalangeales.', 'ano imperforado.', 'malformaciones renales.', 'retraso mental.', 'retraso']","['0000006', '0000006', '0000006', '0003828', '0003813', '0000356', '0000598', '0000365', '0001177', '0010442', '0001199', '0002023', '0000792', '0001249', '0001249']"
2,10066029,"El síndrome de carcinoma basocelular nevoide (NBCCS) es una enfermedad hereditaria transmitida como rasgo autosómica dominante con penetrancia completa y expresividad variable. El síndrome se caracteriza por numerosos carcinomas de células basales (CB), queratoquistes odontogenic de los maxilares, fosas Palmar y/o plantar, anomalías esqueléticas y calcificaciones intracraneales. En este trabajo se revisan las características clínicas de 37 pacientes italianos. Los quistes mandibulares y la calcificación de hoz cerebri fueron las anomalías observadas con mayor frecuencia, seguidas de CB y fosas Palmar/plantar. Al igual que el caso de los afroamericanos, la relativamente baja frecuencia de CB en la población italiana es probablemente debida a la pigmentación protectora de la piel. Una búsqueda futura basada en el cribado de la mutación podría establecer una posible correlación genotipo-fenotipo en pacientes italianos.","Nevoid basal cell carcinoma syndrome (NBCCS) is a hereditary condition transmitted as an autosomal dominant trait with complete penetrance and variable expressivity. The syndrome is characterised by numerous basal cell carcinomas (BCCs), odontogenic keratocysts of the jaws, palmar and/or plantar pits, skeletal abnormalities and intracranial calcifications. In this paper, the clinical features of 37 Italian patients are reviewed. Jaw cysts and calcification of falx cerebri were the most frequently observed anomalies, followed by BCCs and palmar/plantar pits. Similar to the case of African Americans, the relatively low frequency of BCCs in the Italian population is probably due to protective skin pigmentation. A future search based on mutation screening might establish a possible genotype phenotype correlation in Italian patients.","['carcinoma basocelular.', 'autosómica dominante.', 'rasgo autosómica dominante.', 'rasgo dominante.', 'dominante', 'expresividad variable.', 'variable', 'carcinomas basocelulares.', 'queratoquistes odontogenic.', 'queratoquistes de los maxilares.', 'fosas Palmar y/o plantar.', 'fosas plantares.', 'fosetas', 'anomalías esqueléticas.', 'calcificaciones intracraneales.', 'Quistes mandibulares.', 'calcificación de hoz cerebri.', 'CB', 'fosas Palmar/plantar.', 'fosas plantares.', 'fosetas']","['0002671', '0000006', '0000006', '0000006', '0000006', '0003828', '0003813', '0002671', '0010603', '0010603', '0010612', '0010612', '0004467', '0000924', '0002514', '0010603', '0005462', '0002671', '0010610', '0010612', '0004467']"
3,10196695,El síndrome de Angélica (EA) es un trastorno del neurodesarrollo causado por la ausencia de una contribución materna al cromosoma 15q11-q13. Existen cuatro clases de AS según el estado molecular o citogenético: microdeleción materna de 15q11-q13 (aproximadamente el 70% de los pacientes); uniparental uniparental (UPD); defectos en un centro de impresión (IM) supuesto; el cuarto incluye el 20-30% de los individuos con herencia biparental y un patrón normal de metilación alélica en 15q11-q13. Recientemente se han identificado mutaciones de UBE3A como causantes de este último grupo. Pocos estudios han investigado las diferencias fenotípicas entre estas clases. Se compararon 20 no deleciones a 20 pacientes con deleción de la edad y se encontraron diferencias fenotípicas significativas entre ambos grupos. El fenotipo más severo en el grupo de deleción puede sugerir un síndrome del gen contiguo.,Angelman syndrome (AS) is a neurodevelopmental disorder caused by the absence of a maternal contribution to chromosome 15q11-q13. There are four classes of AS according to molecular or cytogenetic status: maternal microdeletion of 15q11-q13 (approximately 70% of AS patients); uniparental disomy (UPD); defects in a putative imprinting centre (IM); the fourth includes 20-30% of AS individuals with biparental inheritance and a normal pattern of allelic methylation in 15q11-q13. Mutations of UBE3A have recently been identified as causing AS in the latter group. Few studies have investigated the phenotypic differences between these classes. We compared 20 non-deletion to 20 age-matched deletion patients and found significant phenotypic differences between the two groups. The more severe phenotype in the deletion group may suggest a contiguous gene syndrome.,"['trastorno del neurodesarrollo', 'síndrome del gen contiguo.']","['0000707', '0001466']"
4,10417280,"El síndrome de Prader-Willi (PWS) y el síndrome de Angel (EA) son diferentes trastornos neuroconductuales que con mayor frecuencia se originan a partir de una deleción de 4 MB del cromosoma 15q11-q13 durante la gametogénesis paterna o materna, respectivamente. A una frecuencia de novo de aproximadamente 67-1/10000 partos, estas deleciones representan un cambio estructural común del cromosoma en el genoma humano. Para dilucidar el mecanismo subyacente a estos acontecimientos, se han caracterizado las regiones que contienen dos grupos de puntos de corte proximal y un racimo distal. Las nuevas secuencias de ADN potencialmente asociadas a los puntos de corte fueron clonadas de forma posicional desde YACs dentro o cerca de estas regiones. Los análisis de los híbridos de células somáticas de roedores, YAC contigs y peces de cromosomas normales o reorganizados 15 identificaron secuencias duplicadas (las repeticiones finales) en o cerca de los puntos de corte. Las unidades de repetición final se derivan de grandes duplicaciones genómicas de un nuevo gen (HERC2), muchas copias de las cuales son transcripcionalmente activas en los tejidos germinales. Uno de los cinco pacientes PWS/AS analizados hasta la fecha tiene una transcripción HERC2 identificable y reordenada derivada del evento de deleción. Se postula que el final repite el flanco 15q11-q13 mediando la recombinación homóloga que da como resultado la deleción. Además, proponemos que la transcripción activa de estas repeticiones en células germinales masculinas y femeninas puede facilitar el proceso de recombinación homóloga.","Prader-Willi syndrome (PWS) and Angelman syndrome (AS) are distinct neurobehavioral disorders that most often arise from a 4-Mb deletion of chromosome 15q11-q13 during paternal or maternal gametogenesis, respectively. At a de novo frequency of approximately.67-1/10,000 births, these deletions represent a common structural chromosome change in the human genome. To elucidate the mechanism underlying these events, we characterized the regions that contain two proximal breakpoint clusters and a distal cluster. Novel DNA sequences potentially associated with the breakpoints were positionally cloned from YACs within or near these regions. Analyses of rodent-human somatic-cell hybrids, YAC contigs, and FISH of normal or rearranged chromosomes 15 identified duplicated sequences (the END repeats) at or near the breakpoints. The END-repeat units are derived from large genomic duplications of a novel gene (HERC2), many copies of which are transcriptionally active in germline tissues. One of five PWS/AS patients analyzed to date has an identifiable, rearranged HERC2 transcript derived from the deletion event. We postulate that the END repeats flanking 15q11-q13 mediate homologous recombination resulting in deletion. Furthermore, we propose that active transcription of these repeats in male and female germ cells may facilitate the homologous recombination process.","['trastornos neuroconductuales', 'de Novo']","['0000708', '0003745']"
5,10440824,"Presentamos la descripción de una niña de 14 meses con Colesteatoma congénita unilateral y anomalías del nervio facial, además de las malformaciones más frecuentes del arco branquial, ótico y renal que forman el síndrome de síndrome-oto-renal (BOR). Su madre también tiene el síndrome de BOR y la duplicación unilateral del nervio facial. Este es el primer estudio de un paciente BOR con Colesteatoma congénita y la segunda familia en la que se describen colesteatoma y anomalías del nervio facial en pacientes con el síndrome de BO/BOR. Se revisa la literatura colesteatoma congénita y se discuten las hipótesis de la patogenia de esta entidad a la luz de este nuevo informe.","We describe a 14-month-old girl with unilateral congenital cholesteatoma and anomalies of the facial nerve in addition to the more common branchial arch, otic, and renal malformations comprising the branchio-oto-renal (BOR) syndrome. Her mother also has the BOR syndrome and unilateral duplication of the facial nerve. This is the first study of a BOR patient with congenital cholesteatoma and the second family in which cholesteatoma and anomalies of the facial nerve are described in patients with the BO/BOR syndrome. We review the congenital cholesteatoma literature and discuss hypotheses for the pathogenesis of this entity in light of this new report.","['colesteatoma', 'anomalías del nervio facial.', 'malformaciones del arco branquial, ótico y renal.', 'branchial', 'malformaciones óticos y renales.', 'malformaciones renales.', 'duplicación unilateral del nervio facial.', 'colesteatoma', 'colesteatoma', 'anomalías del nervio facial.', 'colesteatoma']","['0009797', '0010827', '0009794', '0009794', '0000598', '0000792', '0010827', '0009797', '0009797', '0010827', '0009797']"
6,10482951,"Las características clínicas del síndrome de Angélica (EA) comprenden retraso mental severo, microcefalia postnatal, macrostomia y prognathia, ausencia de habla, ataxia y una disposición feliz. Presentamos siete pacientes que carecen de la mayoría de estas características, pero que presentan obesidad, hipotonía muscular y retraso mental leve. Basándose en estos últimos hallazgos, los pacientes fueron inicialmente sospechosos de padecer el síndrome de Prader-Willi. El análisis de la metilación de ADN de SNRPN y D15S63, sin embargo, reveló un patrón de AS, es decir, la banda materna fue débil o ausente. Los estudios citogenéticos y el análisis microsatélite demostraron cromosomas aparentemente normales 15 de herencia biparental. Concluimos que estos pacientes presentan un defecto de impronta y una forma no reconocida previamente de AS. El fenotipo leve puede explicarse por un defecto de impresión incompleto o por mosaicismo celular.","The clinical features of Angelman syndrome (AS) comprise severe mental retardation, postnatal microcephaly, macrostomia and prognathia, absence of speech, ataxia, and a happy disposition. We report on seven patients who lack most of these features, but presented with obesity, muscular hypotonia and mild mental retardation. Based on the latter findings, the patients were initially suspected of having Prader-Willi syndrome. DNA methylation analysis of SNRPN and D15S63, however, revealed an AS pattern, ie the maternal band was faint or absent. Cytogenetic studies and microsatellite analysis demonstrated apparently normal chromosomes 15 of biparental inheritance. We conclude that these patients have an imprinting defect and a previously unrecognised form of AS. The mild phenotype may be explained by an incomplete imprinting defect or by cellular mosaicism.","['retraso mental severo.', 'retraso mental.', 'retraso', 'microcefalia posnatal.', 'microcefalia', 'macrostomia', 'prognathia', 'ausencia de habla.', 'ataxia', 'disposición feliz.', 'obesidad', 'hipotonía muscular.', 'hipotonía', 'retraso mental leve.', 'retraso mental.', 'retraso']","['0002187', '0001249', '0001249', '0005484', '0000252', '0000181', '0000303', '0001617', '0001251', '0100024', '0001513', '0001252', '0001252', '0001256', '0001249', '0001249']"
7,,,,,
8,10593995,"El síndrome de poplítea pterigión (PPS) es un raro trastorno autosómica dominante, que se cree que ocurre con una incidencia de aproximadamente 1 de cada 300 000 nacidos vivos. Las principales manifestaciones clínicas son poplítea, labio leporino, fisura palatina, fosas de labio inferior, syndactyly y anomalías genitales y ungueales. En este artículo se describen las características clínicas de dos familias con PPS y un caso aislado, mostrando el rango de anomalías encontradas tanto dentro como entre las familias. El PPS tiene algunas características en común con el síndrome de van der Woude (VWS), que también se hereda como una afección autosómica dominante, con fisuras en el labio/paladar y, más distintivamente, las fosas de los labios inferiores. Aunque aún no se ha identificado el gen de la VWS, se ha localizado hasta dentro de 1,6 cM en la región 1q32-41. Para determinar si el PPS y el VWS representan formas alélica del mismo gen, tres familias fueron genotípicas para marcadores que flanqueaban y dentro de la región crítica. Se obtuvo una puntuación de LOD multipunto de 2,7, sin evidencia de recombinación, apoyando la hipótesis de que estos dos trastornos son alélica.","Popliteal pterygium syndrome (PPS) is a rare autosomal dominant disorder, thought to occur with an incidence of approximately 1 in 300 000 live births. The main clinical manifestations are popliteal webbing, cleft lip, cleft palate, lower lip pits, syndactyly, and genital and nail anomalies. This report describes the clinical features in two families with PPS and one isolated case, showing the range of anomalies found both within and between the families. PPS has some features in common with Van der Woude syndrome (VWS), also inherited as an autosomal dominant condition, with cleft lip/palate and, more distinctively, lower lip pits. Although the gene for VWS has not yet been identified, it has been localised to within 1.6 cM in the region 1q32-41. To determine whether PPS and VWS represent allelic forms of the same gene, three families were genotyped for markers flanking and within the critical region. A multipoint lod score of 2.7 was obtained, with no evidence of recombination, supporting the hypothesis that these two disorders are allelic.","['Pterigión poplítea.', 'pterigión', 'trastorno autosómico dominante.', 'autosómica dominante.', 'dominante', 'poplítea', 'labio leporino, fisura palatina', 'labio leporino.', 'paladar hendido.', 'fosas de los labios inferiores', 'fosas labiales', 'fosetas', 'syndactyly', 'anomalías genitales y ungueales.', 'Anomalías ungueales.', 'caso aislado.', 'autosómica dominante.', 'dominante', 'labio leporino/paladar hendido', 'labio leporino.', 'fosas de los labios inferiores', 'fosas labiales', 'fosetas']","['0009756', '0001059', '0000006', '0000006', '0000006', '0009756', '0000202', '0100333', '0000175', '0000196', '0000196', '0004467', '0001159', '0000078', '0001597', '0001420', '0000006', '0000006', '0000202', '0100333', '0000196', '0000196', '0004467']"
9,10631923,"El síndrome de Townes-Brock (TBS) ha sido reconocido como un síndrome hereditario dominante. Presentamos 2 casos de TBS. el caso 1 fue intervenido por el ano imperforado. Las anomalías del pulgar y del oído trifalangeal fueron notables. La sordera se diagnosticó cuando el paciente tenía 6 meses de edad. Las anomalías de los canales semicirculares y el yunque con fusión inculomalleolar se mostraron cuando el paciente tenía 3,5 años de edad. Durante la infancia aparecieron episodios recurrentes de dolor abdominal. Se realizó el diagnóstico de edema angioneur3otico hereditario (HANE). La HANE fue familiar como el padre, el hermano del padre y la gran madre paterna también fueron afectados. Los padres del caso 2, una mujer, tienen un retraso mental leve. Este fue el primer embarazo de la madre que tuvo talla baja. El niño tenía un ano antepositioned, bífido pulgar derecho, dedos grandes, orejas bajas, microrretrognatia y sordera. Se observó una translocación (5, 16) en un niño con TBS. En el punto de corte de 16q 21.1, se ha identificado un gen que codifica para un factor de transcripción SALL1 y se demostró que las mutaciones en el dedo supuesto de zinc de SALL1 causan TBS.","Townes-Brocks syndrome (TBS) has been recognized as a dominant inherited syndrome. We report 2 cases of TBS. Case 1 was operated on for imperforate anus. Triphalangeal thumb and ear anomalies were remarkable. Deafness was diagnosed when the patient was 6 months old. Anomalies of the semicircular canals and the incus with inculomalleolar fusion were shown when the patient was 3.5 years old. During childhood, recurrent episodes of abdominal pain appeared. The diagnosis of hereditary angioneurotic edema (HANE) was made. HANE was familial as the father, the father's brother and the paternal grand mother were also affected. The parents of case 2, a female, are both mildly mentally retarded. This was the first pregnancy of the mother who had short stature. The child had an antepositioned anus, bifid right thumb, large toes, low set ears, microretrognathia and deafness. A (5, 16) translocation was observed in a child with TBS. At the breakpoint in 16q21.1, a gene coding for a transcription factor SALL1 has been identified and it was shown that mutations in the putative zinc finger of SALL1 cause TBS.","['dominante', 'hereditario dominante', 'ano imperforado.', 'Pulgar trifalangeal.', 'anomalías del oído.', 'Sordera', 'Anomalías de los conductos semicirculars.', 'Anomalías de los conductos semicirculars y del yunque.', 'fusión inculomalleolar.', 'la infancia', 'episodios de dolor abdominal.', 'dolor abdominal', 'dolor', 'edema', 'retraso mental leve', 'retraso mental', 'retardado', 'estatura corta.', 'ano antepositioned.', 'pulgar derecho bífido.', 'dedos grandes', 'orejas bajas', 'microrretrognatia', 'sordera']","['0000006', '0000006', '0002023', '0001199', '0000598', '0000404', '0011380', '0011453', '0005473', '0011463', '0002574', '0002027', '0012531', '0000969', '0001256', '0001249', '0001263', '0004322', '0001545', '0009944', '0010511', '0000369', '0000308', '0000404']"
