HPO,UMLS
0000001,C0444868
0000002,C4025901
0000003,C3714581
0000005,C1708511
0000006,C0443147
0000007,C0441748
0000008,C4025900
0000009,C3806583
0000010,C0262655
0000011,C0005697
0000012,C0085606
0000013,C0266399
0000014,C0149632
0000015,C0156273
0000016,C0080274
0000017,C0028734
0000019,C0152032
0000020,C0042024
0000021,C1855311
0000022,C4025899
0000023,C0019294
0000024,C0033581
0000025,C4025898
0000026,C0151721
0000027,C0004509
0000028,C0010417
0000029,C0156312
0000030,C1515283
0000031,C0014534
0000032,C4025897
0000033,C4021823
0000034,C1720771
0000035,C0266423
0000036,C4025896
0000037,C0238395
0000039,C0563449
0000040,C0269011
0000041,C0221182
0000042,C1848869
0000044,C0271623
0000045,C4025895
0000046,C0431659
0000047,C1691215
0000048,C0341787
0000049,C1858539
0000050,C1852534
0000051,C0452148
0000052,C4025894
0000053,C1263023
0000054,C0266435
0000055,C4021822
0000056,C4025893
0000057,NA
0000058,C4025892
0000059,C0566899
0000060,C1844527
0000061,C1859980
0000062,C0266362
0000063,C1837532
0000064,C1849295
0000065,C0404531
0000066,C1850325
0000067,C4025890
0000068,C1610065
0000069,C1840382
0000070,C0041960
0000071,C0521618
0000072,C0521620
0000073,C0221365
0000074,C0521619
0000075,C0266298
0000076,C0042580
0000077,C0022658
0000078,C0281966
0000079,C4021821
0000080,C4020896
0000081,C1858565
0000083,C0035078
0000085,C0221353
0000086,C0238207
0000089,C0266295
0000090,C0687120
0000091,C4021826
0000092,C1858395
0000093,C0033687
0000095,C4025889
0000096,C0178664
0000097,C0017668
0000098,C0241240
0000099,C0017658
0000100,C0027726
0000103,C0032617
0000104,C0542519
0000105,C0542518
0000107,C0022679
0000108,C1968619
0000110,C1619700
0000111,C1866496
0000112,C0022658
0000113,C0022680
0000114,C1839603
0000117,C1845169
0000118,C4021819
0000119,C0042063
0000121,C0027709
0000122,C0266294
0000123,C0027697
0000124,C0151747
0000125,C0221209
0000126,C0020295
0000127,C1846347
0000128,C1846348
0000130,C0266383
0000131,C0042133
0000132,C0025323
0000133,C0018051
0000134,C0271578
0000135,C0020619
0000136,C1850327
0000137,C0029928
0000138,C0029927
0000139,C0042140
0000140,C3549779
0000141,C2219717
0000142,C1856023
0000143,C0034895
0000144,C0520927
0000145,C1856006
0000147,C0032460
0000148,C1321884
0000149,C1518716
0000150,C0206661
0000151,C0425913
0000152,C4021817
0000153,C0026633
0000154,C0024433
0000155,C0149745
0000157,C0878638
0000158,C0024421
0000159,C2183966
0000160,C0026034
0000161,C1850256
0000162,C0267048
0000163,C4025887
0000164,C0040427
0000166,C4025886
0000168,C4021816
0000169,C0016049
0000171,C0025988
0000172,C4025885
0000174,C4021815
0000175,C0008925
0000176,C0432103
0000177,C4025884
0000178,C4025883
0000179,C1839739
0000180,C0431564
0000182,C4025882
0000183,C1853406
0000185,C0432098
0000187,C1857500
0000188,C1848977
0000189,C1398312
0000190,C4025881
0000191,C4021814
0000193,C0266122
0000194,C0240379
0000196,C1861544
0000197,C4025880
0000198,C1858569
0000199,C0241438
0000200,C0426501
0000201,C0031900
0000202,C0158646
0000204,C0008924
0000205,C1832130
0000206,C0017675
0000207,C1849341
0000211,C0041105
0000212,C0017566
0000214,C1857697
0000215,C1846423
0000216,C1839276
0000217,C0043352
0000218,C0240635
0000219,C1865017
0000220,C0042454
0000221,C0040412
0000222,C1857013
0000223,C4025879
0000224,C0151934
0000225,C0017565
0000227,C4025878
0000228,C4025877
0000230,C0017574
0000232,C1853246
0000233,C0578038
0000234,C4021812
0000235,C4025876
0000236,C4025875
0000237,C1859455
0000238,C0020255
0000239,C0456132
0000240,C4025874
0000242,C1857126
0000243,C0265535
0000244,C1857484
0000245,C4025873
0000246,C0030469
0000248,C0221356
0000250,C1854834
0000252,C0424688
0000253,C1850456
0000255,C0149512
0000256,C4083076
0000260,C1866134
0000262,C0030044
0000263,C0030044
0000264,C4025872
0000265,C0024904
0000267,C1860245
0000268,C0221358
0000269,C1853737
0000270,C0277828
0000271,C0266617
0000272,C1858085
0000273,C0234853
0000274,C1855538
0000275,C1837463
0000276,C1836047
0000277,C4025870
0000278,C3494422
0000280,C1845847
0000282,C0542571
0000283,C1859680
0000284,NA
0000286,C0678230
0000287,C4025868
0000288,C1857045
0000289,C1854111
0000290,C4025867
0000291,C4025866
0000292,C1837767
0000293,C1866231
0000294,C1842366
0000295,C1856361
0000297,C1845251
0000298,C0424448
0000300,C1849025
0000301,C4025865
0000303,C0302501
0000306,C4025864
0000307,C1844505
0000308,C1839546
0000309,C4021811
0000311,C0239479
0000315,C4025863
0000316,C0020534
0000317,C0270871
0000319,C1142533
0000320,C1837758
0000321,C1832127
0000322,C1861324
0000324,C1306710
0000325,C1835884
0000326,C4025862
0000327,C0240310
0000329,C1861443
0000331,C1839323
0000336,C1842060
0000337,C1849089
0000338,C0813217
0000339,C1846011
0000340,C1857679
0000341,C1839758
0000343,C1865014
0000346,C1848473
0000347,C0025990
0000348,C0239676
0000349,C1853486
0000350,C1845250
0000356,C0266589
0000357,C4021810
0000358,C0431478
0000359,C4021809
0000360,C0040264
0000361,NA
0000362,C0029899
0000363,C4021808
0000364,C4025860
0000365,C0011053
