OMIM ID,Disease,Protein Associated
202110,"Isolated 17,20-lyase deficiency",CYP17A1
202110,"17-alpha-hydroxylase/17,20-lyase deficiency",CYP17A1
300438,17-beta-hydroxysteroid dehydrogenase X deficiency,HSD17B10
610006,2-methylbutyrylglycinuria,ACADSB
231530,3-hydroxyacyl-coa dehydrogenase deficiency,HADHSC
250620,3-hydroxyisobutryl-CoA hydrolase deficiency,HIBCH
273750,3-M syndrome,CUL7
210200,3-Methylcrotonyl-CoA carboxylase 1 deficiency,MCCC1
210210,3-Methylcrotonyl-CoA carboxylase 2 deficiency,MCCC2
250950,3-Methylglutaconic aciduria type I,AUH
258501,3-Methylglutaconic aciduria type III,OPA3
610198,3-Methylglutaconic aciduria type V,DNAJC19
400045,46XX true hermaphroditism,SRY
233420,46XY complete gonadal dysgenesis,DHH
400044,46XY complete gonadal dysgenesis,SRY
612965,"46XY gonadal dysgenesis, complete or partial, with or without adrenal failure",NR5A1
613080,"46XY gonadal dysgenesis, complete, CBS2-related",CBX2
607080,"46XY partial gonadal dysgenesis, with minifascicular neuropathy",DHH
274270,5-fluorouracil toxicity,DPYD
610460,6-mercaptopurine sensitivity,TPMT
305400,Aarskog–Scott syndrome,FGD1
600501,ABCD syndrome,EDNRB
200100,Abetalipoproteinemia,MTP
611126,ACAD9 deficiency,ACAD9
114290,Acampomelic campomelic dysplasia,SOX9
231550,Achalasia-Addisonianism-Alacrimia syndrome,AAAS
200500,Acheiropody,LMBR1
600972,Achondrogenesis Ib,SLC26A2
200600,Achondrogenesis type 1A,TRIP11
200610,Achondrogenesis-hypochondrogenesis type 2,COL2A1
100800,Achondroplasia,FGFR3
216900,Achromatopsia-2,CNGA3
262300,Achromatopsia-3,CNGB3
200990,Acrocallosal syndrome,GLI3
607778,Acrocapitofemoral dysplasia,IHH
201100,Acrodermatitis enteropathica,SLC39A4
101900,Acrokeratosis verruciformis,ATP2A2
201250,"Acromesomelic dysplasia, Hunter-Thompson type",GDF5
602875,"Acromesomelic dysplasia, Maroteaux type",NPR2
254900,Action myoclonus-renal failure syndrome,SCARB2
201460,"Acyl-CoA dehydrogenase, long chain, deficiency of",ACADL
201450,"Acyl-CoA dehydrogenase, medium chain, deficiency of",ACADM
201470,"Acyl-CoA dehydrogenase, short chain, deficiency of",ACADS
211980,"Adenocarcinoma of lung, response to tyrosine kinase inhibitor in",EGFR
211980,"Adenocarcinoma of lung, somatic",BRAF
211980,"Adenocarcinoma of lung, somatic",ERBB2
