OMIM ID,Disease,Symptoms from Wikipedia,HPO Codes
202110,"Isolated 17,20-lyase deficiency","The symptoms of isolated 17,20-lyase deficiency, in males, include pseudohermaphroditism (i.e., feminized, ambiguous, or mildly underdeveloped (e.g., micropenis, perineal hypospadias, and/or cryptorchidism (undescended testes)) external genitalia), female gender identity, and, in non-complete cases of deficiency where partial virilization occurs, gynecomastia up to Tanner stage V (due to low androgen levels, which results in a lack of suppression of estrogen); in females, amenorrhoea or, in cases of only partial deficiency, merely irregular menses, and enlarged cystic ovaries (due to excessive stimulation by high levels of gonadotropins); and in both sexes, hypergonadotropic hypogonadism (hypogonadism despite high levels of gonadotropins), delayed, impaired, or fully absent adrenarche and puberty with an associated reduction in or complete lack of development of secondary sexual characteristics (sexual infantilism), impaired fertility or complete sterility, tall stature (due to delayed epiphyseal closure), eunuchoid skeletal proportions, delayed or absent bone maturation, and osteoporosis.","['HP:0000013', 'HP:0000028', 'HP:0000033', 'HP:0000037', 'HP:0000047', 'HP:0000054', 'HP:0000062', 'HP:0000144', 'HP:0000147', 'HP:0000771', 'HP:0000786', 'HP:0000815', 'HP:0000822', 'HP:0000823', 'HP:0000840', 'HP:0000859', 'HP:0000868', 'HP:0000939', 'HP:0001508', 'HP:0001949', 'HP:0002215', 'HP:0002225', 'HP:0002231', 'HP:0002616', 'HP:0002750', 'HP:0002900', 'HP:0003115', 'HP:0003154', 'HP:0003351', 'HP:0004322', 'HP:0004349', 'HP:0007440', 'HP:0008163', 'HP:0008187', 'HP:0008193', 'HP:0008207', 'HP:0008214', 'HP:0008221', 'HP:0008232', 'HP:0008258', 'HP:0008675', 'HP:0008726', 'HP:0008730', 'HP:0008734', 'HP:0011105', 'HP:0011749', 'HP:0011969', 'HP:0012041', 'HP:0012112', 'HP:0012244', 'HP:0030349', 'HP:0040085', 'HP:0040171', 'HP:0100607']"
300438,17-beta-hydroxysteroid dehydrogenase X deficiency,"17-β-Hydroxysteroid dehydrogenase III deficiency is clinically characterized by either ambiguous external genitalia or complete female external genitalia at birth; as a consequence of impaired male sexual differentiation in 46,XY individuals, as well as:
Hypothyroidism
Cryptorchidism
Infertility
Abnormality of metabolism","['HP:0000252', 'HP:0000365', 'HP:0000407', 'HP:0000529', 'HP:0000546', 'HP:0000572', 'HP:0000639', 'HP:0000648', 'HP:0000708', 'HP:0000711', 'HP:0000713', 'HP:0000718', 'HP:0000729', 'HP:0000736', 'HP:0000750', 'HP:0001249', 'HP:0001250', 'HP:0001251', 'HP:0001252', 'HP:0001257', 'HP:0001260', 'HP:0001263', 'HP:0001266', 'HP:0001288', 'HP:0001290', 'HP:0001328', 'HP:0001336', 'HP:0001337', 'HP:0001347', 'HP:0001508', 'HP:0001639', 'HP:0001942', 'HP:0001943', 'HP:0002015', 'HP:0002063', 'HP:0002119', 'HP:0002120', 'HP:0002307', 'HP:0002313', 'HP:0002342', 'HP:0002344', 'HP:0002376', 'HP:0002510', 'HP:0002579', 'HP:0003128', 'HP:0004925', 'HP:0006892', 'HP:0007030', 'HP:0007042', 'HP:0008322', 'HP:0008897', 'HP:0008947', 'HP:0011470', 'HP:0012073', 'HP:0012433', 'HP:0040155']"
610006,2-methylbutyrylglycinuria,"SBCADD is included as a secondary target condition in most newborn screening programs, as the key analyte is the same as is used to identify isovaleric acidemia.   Most cases have been Hmong individuals, who are asymptomatic.  There are isolated case reports where individuals have been identified with SBCADD in addition to developmental delay and epilepsy.  It is currently unclear what the complete clinical presentation of SBCADD looks like.  There is some concern that these cases with additional symptoms may reflect an ascertainment bias rather than being a true representation of the clinical spectrum of the disease.  Currently, there is no accepted treatment, as most affected individuals do not require any.  Some recommend avoidance of valproic acid, as it can be a substrate for 2-methylbutyryl-CoA dehydrogenase.","['HP:0000252', 'HP:0000577', 'HP:0001250', 'HP:0001252', 'HP:0001254', 'HP:0001263', 'HP:0001270', 'HP:0001290', 'HP:0001943', 'HP:0002045', 'HP:0003700', 'HP:0005949']"
231530,3-hydroxyacyl-coa dehydrogenase deficiency,"Typically, initial signs and symptoms of this disorder occur during infancy or early childhood and can include poor appetite, vomiting, diarrhea, lethargy, hypoglycemia, hypotonia, liver problems, and hyperinsulinism (high levels of insulin). Insulin controls the amount of sugar that moves from the blood into cells for conversion to energy. Individuals with 3-hydroxyacyl-coenzyme A dehydrogenase deficiency are also at risk for complications such as seizures, life-threatening heart and breathing problems, coma, and sudden unexpected death.
Problems related to 3-hydroxyacyl-coenzyme A dehydrogenase deficiency can be triggered by periods of fasting or by illnesses such as viral infections. This disorder is sometimes mistaken for Reye syndrome, a severe disorder that may develop in children while they appear to be recovering from viral infections such as chicken pox or flu. Most cases of Reye syndrome are associated with the use of aspirin during these viral infections.",[]
273750,3-M syndrome,,"['HP:0000047', 'HP:0000179', 'HP:0000268', 'HP:0000272', 'HP:0000303', 'HP:0000307', 'HP:0000325', 'HP:0000343', 'HP:0000463', 'HP:0000470', 'HP:0000574', 'HP:0000767', 'HP:0000773', 'HP:0001249', 'HP:0001373', 'HP:0001382', 'HP:0001508', 'HP:0001511', 'HP:0001518', 'HP:0001763', 'HP:0002007', 'HP:0002643', 'HP:0002750', 'HP:0002827', 'HP:0003100', 'HP:0003298', 'HP:0003307', 'HP:0003691', 'HP:0004209', 'HP:0004322', 'HP:0004570', 'HP:0005280', 'HP:0008734', 'HP:0008839', 'HP:0008897', 'HP:0009237', 'HP:0010306']"
250950,3-Methylglutaconic aciduria type I,,"['HP:0000020', 'HP:0000252', 'HP:0000648', 'HP:0000736', 'HP:0000750', 'HP:0001250', 'HP:0001251', 'HP:0001259', 'HP:0001260', 'HP:0001263', 'HP:0001270', 'HP:0001285', 'HP:0001332', 'HP:0001347', 'HP:0001508', 'HP:0001942', 'HP:0001943', 'HP:0002059', 'HP:0002073', 'HP:0002134', 'HP:0002240', 'HP:0002305', 'HP:0002352', 'HP:0002373', 'HP:0002510', 'HP:0003535', 'HP:0025356', 'HP:0100543']"
258501,3-Methylglutaconic aciduria type III,,"['HP:0000505', 'HP:0000639', 'HP:0000648', 'HP:0001249', 'HP:0001251', 'HP:0001257', 'HP:0001260', 'HP:0001266', 'HP:0001288', 'HP:0001347', 'HP:0001939', 'HP:0002071', 'HP:0002072', 'HP:0002313', 'HP:0003487', 'HP:0003535', 'HP:0007663', 'HP:0100543']"
610198,3-Methylglutaconic aciduria type V,,"['HP:0000028', 'HP:0000047', 'HP:0000051', 'HP:0000648', 'HP:0000821', 'HP:0001249', 'HP:0001250', 'HP:0001251', 'HP:0001319', 'HP:0001324', 'HP:0001332', 'HP:0001414', 'HP:0001508', 'HP:0001510', 'HP:0001511', 'HP:0001635', 'HP:0001644', 'HP:0001645', 'HP:0001657', 'HP:0001998', 'HP:0001999', 'HP:0002061', 'HP:0002151', 'HP:0002194', 'HP:0002345', 'HP:0002376', 'HP:0002470', 'HP:0002910', 'HP:0003150', 'HP:0003344', 'HP:0003530', 'HP:0003535', 'HP:0003700', 'HP:0004840', 'HP:0004856', 'HP:0007146', 'HP:0007366', 'HP:0008619', 'HP:0008689', 'HP:0008734', 'HP:0008736', 'HP:0008762', 'HP:0008897', 'HP:0009110', 'HP:0011623', 'HP:0012758', 'HP:0012817', 'HP:0100660', 'HP:0100702']"
400045,46XX true hermaphroditism,,"['HP:0000026', 'HP:0000027', 'HP:0000047', 'HP:0000062', 'HP:0000098', 'HP:0000147', 'HP:0000771', 'HP:0000813', 'HP:0008232', 'HP:0008665', 'HP:0008734', 'HP:0010459', 'HP:0011969', 'HP:0012245', 'HP:0012861']"
305400,Aarskog–Scott syndrome,"People with Aarskog–Scott syndrome often have distinctive facial features, such as widely spaced eyes (hypertelorism), a small nose, a long area between the nose and mouth (philtrum), and a widow's peak hairline. They frequently have mild to moderate short stature during childhood, but their growth usually catches up with that of their peers during puberty. Hand abnormalities are common in this syndrome and include short fingers (brachydactyly), curved pinky fingers (fifth finger clinodactyly), webbing of the skin between some fingers (cutaneous syndactyly), and a single crease across the palm. Other abnormalities in people with Aarskog–Scott syndrome include heart defects and a split in the upper lip (cleft lip) with or without an opening in the roof of the mouth (cleft palate).Most males with Aarskog–Scott syndrome have a shawl scrotum, in which the scrotum surrounds the penis instead of hanging below. Less often, they have undescended testes (cryptorchidism) or a soft out-pouching around the belly-button (umbilical hernia) or in the lower abdomen (inguinal hernia).The intellectual development of people with Aarskog–Scott syndrome varies widely. Some may have mild learning and behavior problems, while others have normal intelligence. In rare cases, severe intellectual disability has been reported.","['HP:0000023', 'HP:0000028', 'HP:0000049', 'HP:0000144', 'HP:0000164', 'HP:0000175', 'HP:0000202', 'HP:0000204', 'HP:0000232', 'HP:0000286', 'HP:0000289', 'HP:0000311', 'HP:0000316', 'HP:0000327', 'HP:0000337', 'HP:0000343', 'HP:0000349', 'HP:0000368', 'HP:0000431', 'HP:0000463', 'HP:0000470', 'HP:0000485', 'HP:0000486', 'HP:0000494', 'HP:0000508', 'HP:0000540', 'HP:0000668', 'HP:0000684', 'HP:0000708', 'HP:0000767', 'HP:0000823', 'HP:0000954', 'HP:0000974', 'HP:0001156', 'HP:0001159', 'HP:0001169', 'HP:0001187', 'HP:0001256', 'HP:0001263', 'HP:0001508', 'HP:0001537', 'HP:0001544', 'HP:0001635', 'HP:0001762', 'HP:0001763', 'HP:0001769', 'HP:0001773', 'HP:0001883', 'HP:0002055', 'HP:0002650', 'HP:0002816', 'HP:0003196', 'HP:0003311', 'HP:0003318', 'HP:0003319', 'HP:0003502', 'HP:0004209', 'HP:0004279', 'HP:0004322', 'HP:0005640', 'HP:0005692', 'HP:0006101', 'HP:0007018', 'HP:0008572', 'HP:0009237', 'HP:0009466', 'HP:0009748', 'HP:0009890', 'HP:0012774', 'HP:0030084', 'HP:0030680', 'HP:0032277', 'HP:0100490', 'HP:0100543', 'HP:0200055']"
