TA_start,TA_end,TA_symptoms,TA_scores,TA_is_negated,TA_HPO_codes,jaccard_score
"['150', '162', '191', '207', '303', '349', '477', '518', '537', '559', '666', '698', '972', '1093']","['160', '182', '205', '225', '313', '361', '488', '528', '553', '582', '696', '710', '984', '1105']","['micropenis', 'perineal hypospadias', 'cryptorchidism', 'undescended testes', 'deficiency', 'gynecomastia', 'amenorrhoea', 'deficiency', 'irregular menses', 'enlarged cystic ovaries', 'hypergonadotropic hypogonadism', 'hypogonadism', 'tall stature', 'osteoporosis']","[0.9, 0.93, 0.99, 0.6, 0.88, 0.73, 0.56, 0.88, 0.95, 0.9, 0.9, 0.68, 0.67, 0.99]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0000054', 'HP:0000051', 'HP:0000028', 'HP:0000028', 'HP:0004395', 'HP:0000771', 'HP:0000141', 'HP:0004395', 'HP:0000858', 'HP:0008675', 'HP:0000815', 'HP:0000135', 'HP:0000098', 'HP:0000939']",0.1
"['87', '255', '270', '285', '297']","['115', '269', '284', '296', '322']","['ambiguous external genitalia', 'Hypothyroidism', 'Cryptorchidism', 'Infertility', 'Abnormality of metabolism']","[0.96, 1.0, 1.0, 0.95, 0.86]","[False, False, False, False, False]","['HP:0000062', 'HP:0000821', 'HP:0000028', 'HP:0000789', 'HP:0032245']",0.0
"['0', '303', '349', '427']","['6', '309', '357', '433']","['SBCADD', 'SBCADD', 'epilepsy', 'SBCADD']","[1.0, 1.0, 1.0, 1.0]","[False, False, False, False]","['HP:0020147', 'HP:0020147', 'HP:0001250', 'HP:0020147']",0.07692307692307693
"['111', '126', '136', '146', '156', '170', '201', '453', '490', '510']","['124', '134', '144', '154', '168', '179', '216', '461', '508', '514']","['poor appetite', 'vomiting', 'diarrhea', 'lethargy', 'hypoglycemia', 'hypotonia', 'hyperinsulinism', 'seizures', 'breathing problems', 'coma']","[1.0, 1.0, 1.0, 1.0, 0.88, 0.9, 0.76, 0.95, 0.77, 1.0]","[False, False, False, False, False, False, False, False, False, False]","['HP:0004396', 'HP:0002013', 'HP:0002014', 'HP:0001254', 'HP:0001943', 'HP:0001252', 'HP:0000842', 'HP:0001250', 'HP:0002795', 'HP:0001259']",0.0
"['83', '103', '121', '198', '251', '360', '419', '434', '485', '542', '668', '712', '836', '940', '960', '1024', '1067', '1278']","['101', '116', '131', '211', '264', '378', '432', '447', '497', '562', '681', '721', '849', '958', '974', '1040', '1084', '1301']","['widely spaced eyes', 'hypertelorism', 'small nose', 'peak hairline', 'short stature', 'Hand abnormalities', 'short fingers', 'brachydactyly', 'clinodactyly', 'cutaneous syndactyly', 'heart defects', 'cleft lip', 'shawl scrotum', 'undescended testes', 'cryptorchidism', 'umbilical hernia', 'inguinal hernia).', 'intellectual disability']","[0.79, 0.83, 0.88, 0.82, 0.81, 0.62, 0.82, 0.7, 0.58, 0.66, 0.77, 0.69, 0.94, 0.68, 1.0, 0.99, 0.99, 0.97]","[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]","['HP:0000316', 'HP:0000316', 'HP:0003196', 'HP:0000349', 'HP:0004322', 'HP:0001155', 'HP:0009381', 'HP:0001156', 'HP:0030084', 'HP:0012725', 'HP:0001627', 'HP:0000204', 'HP:0000049', 'HP:0000028', 'HP:0000028', 'HP:0001537', 'HP:0000023', 'HP:0001249']",0.1375
"['17', '67', '90', '118', '204', '265', '301', '320', '376', '404', '459']","['25', '88', '103', '131', '226', '273', '307', '330', '401', '415', '472']","['dwarfism', 'rhizomelic shortening', 'Short fingers', 'trident hands', 'flattened nasal bridge', 'lordosis', 'bowleg', 'knock knee', 'Eustachian tube blockages', 'sleep apnea', 'hydrocephalus']","[0.98, 0.92, 0.78, 0.82, 0.97, 1.0, 0.86, 0.66, 0.78, 1.0, 0.98]","[False, False, False, False, False, False, False, False, False, False, False]","['HP:0003510', 'HP:0008905', 'HP:0009381', 'HP:0004060', 'HP:0005280', 'HP:0003307', 'HP:0002970', 'HP:0002857', 'HP:0040269', 'HP:0010535', 'HP:0000238']",0.06818181818181818
"['49', '545', '594', '787']","['67', '563', '612', '797']","['Hallux-duplication', 'mental retardation', 'facial deformities', 'stillbirth']","[0.99, 0.92, 0.63, 1.0]","[False, False, False, False]","['HP:0010066', 'HP:0001249', 'HP:0001999', 'HP:0003826']",0.02666666666666667
"['78', '97', '125', '152', '373']","['96', '105', '134', '164', '381']","['Blistering of skin', 'Dry skin', 'Glossitis', 'loss of hair', 'diarrhea']","[0.64, 0.86, 0.93, 0.98, 1.0]","[False, False, False, False, False]","['HP:0008066', 'HP:0000958', 'HP:0000206', 'HP:0001596', 'HP:0002014']",0.10638297872340426
"['39', '68', '154', '181', '334']","['63', '85', '162', '192', '346']","['hypoketotic hypoglycemia', 'liver dysfunction', 'vomiting', 'exclusively', 'sudden death']","[0.99, 0.97, 1.0, 0.6, 0.99]","[False, False, False, False, False]","['HP:0001985', 'HP:0001410', 'HP:0002013', 'HP:0040285', 'HP:0001699']",0.041666666666666664
"['80', '109', '125', '236', '254', '266', '538']","['88', '123', '133', '252', '263', '274', '553']","['vomiting', 'lack of energy', 'lethargy', 'poor muscle tone', 'hypotonia', 'seizures', 'muscle weakness']","[0.99, 0.98, 0.97, 0.97, 0.68, 0.87, 0.97]","[False, False, False, False, False, False, True]","['HP:0002013', 'HP:0012378', 'HP:0001254', 'HP:0001252', 'HP:0001252', 'HP:0001250', 'HP:0001324']",0.13636363636363635
