FileName,Actual Text,HPO ID,Phenotype name,No. occurrences,Earliness (lower = earlier)
1003450,"['A syndrome of brachydactyly (absence of some middle or distal phalanges), aplastic or hypoplastic nails, symphalangism (ankylois of proximal interphalangeal joints), synostosis of some carpal and tarsal bones, craniosynostosis, and dysplastic hip joints is reported in five members of an Italian family. It may represent a previously undescribed autosomal dominant trait.']","['HP:0001792', 'HP:0001156', 'HP:0001798', 'HP:0009702', 'HP:0001363']","['Small nail', 'Brachydactyly', 'Anonychia', 'Carpal synostosis', 'Craniosynostosis']","[2, 1, 1, 1, 1]","[4, 2, 4, 8, 10]"
10051003,"['Townes-Brocks syndrome (TBS) is an autosomal dominant disorder with multiple malformations and variable expression. Major findings include external ear anomalies, hearing loss, preaxial polydactyly and triphalangeal thumbs, imperforate anus, and renal malformations. Most patients with Townes-Brocks syndrome have normal intelligence, although mental retardation has been noted in a few.']","['HP:0000356', 'HP:0000598', 'HP:0010442', 'HP:0000365', 'HP:0100258', 'HP:0001199', 'HP:0002023', 'HP:0012210', 'HP:0001249']","['Abnormality of the outer ear', 'Abnormality of the ear', 'Polydactyly', 'Hearing impairment', 'Preaxial polydactyly', 'Triphalangeal thumb', 'Anal atresia', 'Abnormal renal morphology', 'Intellectual disability']","[2, 2, 2, 1, 1, 1, 1, 1, 1]","[6, 6, 9, 8, 9, 11, 12, 13, 14]"
10066029,"['Nevoid basal cell carcinoma syndrome (NBCCS) is a hereditary condition transmitted as an autosomal dominant trait with complete penetrance and variable expressivity. The syndrome is characterised by numerous basal cell carcinomas (BCCs), odontogenic keratocysts of the jaws, palmar and/or plantar pits, skeletal abnormalities and intracranial calcifications. In this paper, the clinical features of 37 Italian patients are reviewed. Jaw cysts and calcification of falx cerebri were the most frequently observed anomalies, followed by BCCs and palmar/plantar pits. Similar to the case of African Americans, the relatively low frequency of BCCs in the Italian population is probably due to protective skin pigmentation. A future search based on mutation screening might establish a possible genotype phenotype correlation in Italian patients.']","['HP:0010612', 'HP:0002671', 'HP:0030731', 'HP:0010610', 'HP:0010603', 'HP:0000924', 'HP:0002514', 'HP:0005462']","['Plantar pits', 'Basal cell carcinoma', 'Carcinoma', 'Palmar pits', 'Odontogenic keratocysts of the jaw', 'Abnormality of the skeletal system', 'Cerebral calcification', 'Calcification of falx cerebri']","[4, 2, 2, 2, 1, 1, 1, 1]","[11, 1, 1, 11, 10, 14, 15, 17]"
10196695,['Angelman syndrome (AS) is a neurodevelopmental disorder caused by the absence of a maternal contribution to chromosome 15q11-q13. There are four classes of AS according to molecular or cytogenetic status: maternal microdeletion of 15q11-q13 (approximately 70% of AS patients); uniparental disomy (UPD); defects in a putative imprinting centre (IM); the fourth includes 20-30% of AS individuals with biparental inheritance and a normal pattern of allelic methylation in 15q11-q13. Mutations of UBE3A have recently been identified as causing AS in the latter group. Few studies have investigated the phenotypic differences between these classes. We compared 20 non-deletion to 20 age-matched deletion patients and found significant phenotypic differences between the two groups. The more severe phenotype in the deletion group may suggest a contiguous gene syndrome.'],[],[],[],[]
10417280,"['Prader-Willi syndrome (PWS) and Angelman syndrome (AS) are distinct neurobehavioral disorders that most often arise from a 4-Mb deletion of chromosome 15q11-q13 during paternal or maternal gametogenesis, respectively. At a de novo frequency of approximately.67-1/10,000 births, these deletions represent a common structural chromosome change in the human genome. To elucidate the mechanism underlying these events, we characterized the regions that contain two proximal breakpoint clusters and a distal cluster. Novel DNA sequences potentially associated with the breakpoints were positionally cloned from YACs within or near these regions. Analyses of rodent-human somatic-cell hybrids, YAC contigs, and FISH of normal or rearranged chromosomes 15 identified duplicated sequences (the END repeats) at or near the breakpoints. The END-repeat units are derived from large genomic duplications of a novel gene (HERC2), many copies of which are transcriptionally active in germline tissues. One of five PWS/AS patients analyzed to date has an identifiable, rearranged HERC2 transcript derived from the deletion event. We postulate that the END repeats flanking 15q11-q13 mediate homologous recombination resulting in deletion. Furthermore, we propose that active transcription of these repeats in male and female germ cells may facilitate the homologous recombination process.']",[],[],[],[]
10440824,"['We describe a 14-month-old girl with unilateral congenital cholesteatoma and anomalies of the facial nerve in addition to the more common branchial arch, otic, and renal malformations comprising the branchio-oto-renal (BOR) syndrome. Her mother also has the BOR syndrome and unilateral duplication of the facial nerve. This is the first study of a BOR patient with congenital cholesteatoma and the second family in which cholesteatoma and anomalies of the facial nerve are described in patients with the BO/BOR syndrome. We review the congenital cholesteatoma literature and discuss hypotheses for the pathogenesis of this entity in light of this new report.']","['HP:0009797', 'HP:0012210', 'HP:0000271', 'HP:0010827', 'HP:0009794', 'HP:0000075', 'HP:0000077']","['Cholesteatoma', 'Abnormal renal morphology', 'Abnormality of the face', 'Abnormality of the seventh cranial nerve', 'Branchial anomaly', 'Renal duplication', 'Abnormality of the kidney']","[6, 5, 4, 4, 1, 1, 1]","[0, 3, 0, 0, 0, 5, 5]"
10482951,"['The clinical features of Angelman syndrome (AS) comprise severe mental retardation, postnatal microcephaly, macrostomia and prognathia, absence of speech, ataxia, and a happy disposition. We report on seven patients who lack most of these features, but presented with obesity, muscular hypotonia and mild mental retardation. Based on the latter findings, the patients were initially suspected of having Prader-Willi syndrome. DNA methylation analysis of SNRPN and D15S63, however, revealed an AS pattern, ie the maternal band was faint or absent. Cytogenetic studies and microsatellite analysis demonstrated apparently normal chromosomes 15 of biparental inheritance. We conclude that these patients have an imprinting defect and a previously unrecognised form of AS. The mild phenotype may be explained by an incomplete imprinting defect or by cellular mosaicism.']","['HP:0001249', 'HP:0000252', 'HP:0001290', 'HP:0001319', 'HP:0011451', 'HP:0000154', 'HP:0000303', 'HP:0001251', 'HP:0001252', 'HP:0001256', 'HP:0001513', 'HP:0005484', 'HP:0010864', 'HP:0006829', 'HP:0040196']","['Intellectual disability', 'Microcephaly', 'Generalized hypotonia', 'Neonatal hypotonia', 'Congenital microcephaly', 'Wide mouth', 'Mandibular prognathia', 'Ataxia', 'Muscular hypotonia', 'Intellectual disability, mild', 'Obesity', 'Postnatal microcephaly', 'Intellectual disability, severe', 'Severe muscular hypotonia', 'Mild microcephaly']","[5, 3, 3, 3, 3, 2, 2, 2, 2, 2, 2, 2, 2, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
10569966,"[""Neurofibromatosis type 2 (NF2) is a highly penetrant autosomal dominant condition predisposing affected individuals to schwannomas and meningiomas. The proportion of children presenting with meningioma or schwannoma who have NF2 is not well described, and neither is the mode of presentation in most children with the inherited disease.\n\nTo determine the frequency of childhood meningioma and schwannoma cases caused by NF2 and the mode of presentation.\n\nThe records of the Manchester Children's Tumour Registry from 1954 were searched for cases of meningioma and schwannoma. Paediatric presentation in a large UK series of NF2 was also studied.\n\n18% (61/334) of patients with NF2 on the UK database presented in the paediatric age group (0-15 years), frequently with the symptoms of an isolated tumour. More than half had no family history to alert the clinician to their susceptibility. Three of 22 children presenting with a meningioma on the Manchester Children's Tumour Registry have gone on to develop classic features of NF2.\n\nClinicians should suspect NF2 in children presenting with meningioma, schwannoma, and skin features, such as neurofibromas/schwannomas, but fewer than 6 caf̩ au lait patches, who thus fall short of a diagnosis of neurofibromatosis type 1.""]","['HP:0100008', 'HP:0002858', 'HP:0001067', 'HP:0002664']","['Schwannoma', 'Meningioma', 'Neurofibromas', 'Neoplasm']","[6, 6, 4, 3]","[4, 5, 1, 11]"
10593995,"['Popliteal pterygium syndrome (PPS) is a rare autosomal dominant disorder, thought to occur with an incidence of approximately 1 in 300 000 live births. The main clinical manifestations are popliteal webbing, cleft lip, cleft palate, lower lip pits, syndactyly, and genital and nail anomalies. This report describes the clinical features in two families with PPS and one isolated case, showing the range of anomalies found both within and between the families. PPS has some features in common with Van der Woude syndrome (VWS), also inherited as an autosomal dominant condition, with cleft lip/palate and, more distinctively, lower lip pits. Although the gene for VWS has not yet been identified, it has been localised to within 1.6 cM in the region 1q32-41. To determine whether PPS and VWS represent allelic forms of the same gene, three families were genotyped for markers flanking and within the critical region. A multipoint lod score of 2.7 was obtained, with no evidence of recombination, supporting the hypothesis that these two disorders are allelic.']","['HP:0410030', 'HP:0100267', 'HP:0000175', 'HP:0001059', 'HP:0000196', 'HP:0001597', 'HP:0009756', 'HP:0001159', 'HP:0000202']","['Cleft lip', 'Lip pit', 'Cleft palate', 'Pterygium', 'Lower lip pit', 'Abnormality of the nail', 'Popliteal pterygium', 'Syndactyly', 'Oral cleft']","[4, 4, 3, 2, 2, 2, 1, 1, 1]","[9, 13, 10, 3, 13, 18, 3, 16, 23]"
10631923,"[""Townes-Brocks syndrome (TBS) has been recognized as a dominant inherited syndrome. We report 2 cases of TBS. Case 1 was operated on for imperforate anus. Triphalangeal thumb and ear anomalies were remarkable. Deafness was diagnosed when the patient was 6 months old. Anomalies of the semicircular canals and the incus with inculomalleolar fusion were shown when the patient was 3.5 years old. During childhood, recurrent episodes of abdominal pain appeared. The diagnosis of hereditary angioneurotic edema (HANE) was made. HANE was familial as the father, the father's brother and the paternal grand mother were also affected. The parents of case 2, a female, are both mildly mentally retarded. This was the first pregnancy of the mother who had short stature. The child had an antepositioned anus, bifid right thumb, large toes, low set ears, microretrognathia and deafness. A (5, 16) translocation was observed in a child with TBS. At the breakpoint in 16q21.1, a gene coding for a transcription factor SALL1 has been identified and it was shown that mutations in the putative zinc finger of SALL1 cause TBS.""]","['HP:0000365', 'HP:0002027', 'HP:0002023', 'HP:0001199', 'HP:0000356', 'HP:0000598', 'HP:0000969', 'HP:0004322', 'HP:0001545', 'HP:0009944', 'HP:0000369', 'HP:0000308']","['Hearing impairment', 'Abdominal pain', 'Anal atresia', 'Triphalangeal thumb', 'Abnormality of the outer ear', 'Abnormality of the ear', 'Edema', 'Short stature', 'Anteriorly placed anus', 'Partial duplication of thumb phalanx', 'Low-set ears', 'Microretrognathia']","[2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[7, 13, 4, 5, 6, 6, 16, 20, 21, 22, 24, 25]"
