file,text,HPO_symptoms,HPO_codes,starts,ends
1003450,"A syndrome of brachydactyly (absence of some middle or distal phalanges), aplastic or hypoplastic nails, symphalangism (ankylois of proximal interphalangeal joints), synostosis of some carpal and tarsal bones, craniosynostosis, and dysplastic hip joints is reported in five members of an Italian family. It may represent a previously undescribed autosomal dominant trait.","['brachydactyly', 'absence of some middle or distal phalanges', 'aplastic or hypoplastic nails', 'hypoplastic nails', 'symphalangism', 'ankylois of proximal interphalangeal joints', 'synostosis of some carpal and tarsal bones', 'craniosynostosis', 'dysplastic hip joints', 'autosomal dominant trait', 'autosomal dominant', 'dominant', 'dominant trait']","['0001156', '0009881', '0001798', '0001792', '0100264', '0008090', '0009702', '0001363', '0001385', '0000006', '0000006', '0000006', '0000006']","[14, 29, 74, 86, 105, 120, 166, 210, 232, 346, 346, 356, 356]","[27, 71, 103, 103, 118, 163, 208, 226, 253, 370, 364, 364, 370]"
10051003,"Townes-Brocks syndrome (TBS) is an autosomal dominant disorder with multiple malformations and variable expression. Major findings include external ear anomalies, hearing loss, preaxial polydactyly and triphalangeal thumbs, imperforate anus, and renal malformations. Most patients with Townes-Brocks syndrome have normal intelligence, although mental retardation has been noted in a few.","['autosomal dominant disorder', 'autosomal dominant', 'dominant', 'variable expression', 'variable', 'external ear anomalies', 'ear anomalies', 'hearing loss', 'preaxial polydactyly', 'polydactyly', 'triphalangeal thumbs', 'imperforate anus', 'renal malformations', 'mental retardation', 'retardation']","['0000006', '0000006', '0000006', '0003828', '0003813', '0000356', '0000598', '0000365', '0001177', '0010442', '0001199', '0002023', '0000792', '0001249', '0001249']","[35, 35, 45, 95, 95, 139, 148, 163, 177, 186, 202, 224, 246, 344, 351]","[62, 53, 53, 114, 103, 161, 161, 175, 197, 197, 222, 240, 265, 362, 362]"
10066029,"Nevoid basal cell carcinoma syndrome (NBCCS) is a hereditary condition transmitted as an autosomal dominant trait with complete penetrance and variable expressivity. The syndrome is characterised by numerous basal cell carcinomas (BCCs), odontogenic keratocysts of the jaws, palmar and/or plantar pits, skeletal abnormalities and intracranial calcifications. In this paper, the clinical features of 37 Italian patients are reviewed. Jaw cysts and calcification of falx cerebri were the most frequently observed anomalies, followed by BCCs and palmar/plantar pits. Similar to the case of African Americans, the relatively low frequency of BCCs in the Italian population is probably due to protective skin pigmentation. A future search based on mutation screening might establish a possible genotype phenotype correlation in Italian patients.","['basal cell carcinoma', 'autosomal dominant', 'autosomal dominant trait', 'dominant trait', 'dominant', 'variable expressivity', 'variable', 'basal cell carcinomas', 'odontogenic keratocysts', 'keratocysts of the jaws', 'palmar and/or plantar pits', 'plantar pits', 'pits', 'skeletal abnormalities', 'intracranial calcifications', 'Jaw cysts', 'calcification of falx cerebri', 'BCCs', 'palmar/plantar pits', 'plantar pits', 'pits']","['0002671', '0000006', '0000006', '0000006', '0000006', '0003828', '0003813', '0002671', '0010603', '0010603', '0010612', '0010612', '0004467', '0000924', '0002514', '0010603', '0005462', '0002671', '0010610', '0010612', '0004467']","[7, 89, 89, 99, 99, 143, 143, 208, 238, 250, 275, 289, 297, 303, 330, 433, 447, 534, 543, 550, 558]","[27, 107, 113, 113, 107, 164, 151, 229, 261, 273, 301, 301, 301, 325, 357, 442, 476, 538, 562, 562, 562]"
10196695,Angelman syndrome (AS) is a neurodevelopmental disorder caused by the absence of a maternal contribution to chromosome 15q11-q13. There are four classes of AS according to molecular or cytogenetic status: maternal microdeletion of 15q11-q13 (approximately 70% of AS patients); uniparental disomy (UPD); defects in a putative imprinting centre (IM); the fourth includes 20-30% of AS individuals with biparental inheritance and a normal pattern of allelic methylation in 15q11-q13. Mutations of UBE3A have recently been identified as causing AS in the latter group. Few studies have investigated the phenotypic differences between these classes. We compared 20 non-deletion to 20 age-matched deletion patients and found significant phenotypic differences between the two groups. The more severe phenotype in the deletion group may suggest a contiguous gene syndrome.,"['neurodevelopmental disorder', 'contiguous gene syndrome']","['0000707', '0001466']","[28, 839]","[55, 863]"
10417280,"Prader-Willi syndrome (PWS) and Angelman syndrome (AS) are distinct neurobehavioral disorders that most often arise from a 4-Mb deletion of chromosome 15q11-q13 during paternal or maternal gametogenesis, respectively. At a de novo frequency of approximately.67-1/10,000 births, these deletions represent a common structural chromosome change in the human genome. To elucidate the mechanism underlying these events, we characterized the regions that contain two proximal breakpoint clusters and a distal cluster. Novel DNA sequences potentially associated with the breakpoints were positionally cloned from YACs within or near these regions. Analyses of rodent-human somatic-cell hybrids, YAC contigs, and FISH of normal or rearranged chromosomes 15 identified duplicated sequences (the END repeats) at or near the breakpoints. The END-repeat units are derived from large genomic duplications of a novel gene (HERC2), many copies of which are transcriptionally active in germline tissues. One of five PWS/AS patients analyzed to date has an identifiable, rearranged HERC2 transcript derived from the deletion event. We postulate that the END repeats flanking 15q11-q13 mediate homologous recombination resulting in deletion. Furthermore, we propose that active transcription of these repeats in male and female germ cells may facilitate the homologous recombination process.","['neurobehavioral disorders', 'de novo']","['0000708', '0003745']","[68, 223]","[93, 230]"
10440824,"We describe a 14-month-old girl with unilateral congenital cholesteatoma and anomalies of the facial nerve in addition to the more common branchial arch, otic, and renal malformations comprising the branchio-oto-renal (BOR) syndrome. Her mother also has the BOR syndrome and unilateral duplication of the facial nerve. This is the first study of a BOR patient with congenital cholesteatoma and the second family in which cholesteatoma and anomalies of the facial nerve are described in patients with the BO/BOR syndrome. We review the congenital cholesteatoma literature and discuss hypotheses for the pathogenesis of this entity in light of this new report.","['cholesteatoma', 'anomalies of the facial nerve', 'branchial arch, otic, and renal malformations', 'branchial', 'otic, and renal malformations', 'renal malformations', 'unilateral duplication of the facial nerve', 'cholesteatoma', 'cholesteatoma', 'anomalies of the facial nerve', 'cholesteatoma']","['0009797', '0010827', '0009794', '0009794', '0000598', '0000792', '0010827', '0009797', '0009797', '0010827', '0009797']","[59, 77, 138, 138, 154, 164, 275, 376, 421, 439, 546]","[72, 106, 183, 147, 183, 183, 317, 389, 434, 468, 559]"
10482951,"The clinical features of Angelman syndrome (AS) comprise severe mental retardation, postnatal microcephaly, macrostomia and prognathia, absence of speech, ataxia, and a happy disposition. We report on seven patients who lack most of these features, but presented with obesity, muscular hypotonia and mild mental retardation. Based on the latter findings, the patients were initially suspected of having Prader-Willi syndrome. DNA methylation analysis of SNRPN and D15S63, however, revealed an AS pattern, ie the maternal band was faint or absent. Cytogenetic studies and microsatellite analysis demonstrated apparently normal chromosomes 15 of biparental inheritance. We conclude that these patients have an imprinting defect and a previously unrecognised form of AS. The mild phenotype may be explained by an incomplete imprinting defect or by cellular mosaicism.","['severe mental retardation', 'mental retardation', 'retardation', 'postnatal microcephaly', 'microcephaly', 'macrostomia', 'prognathia', 'absence of speech', 'ataxia', 'happy disposition', 'obesity', 'muscular hypotonia', 'hypotonia', 'mild mental retardation', 'mental retardation', 'retardation']","['0002187', '0001249', '0001249', '0005484', '0000252', '0000181', '0000303', '0001617', '0001251', '0100024', '0001513', '0001252', '0001252', '0001256', '0001249', '0001249']","[57, 64, 71, 84, 94, 108, 124, 136, 155, 169, 268, 277, 286, 300, 305, 312]","[82, 82, 82, 106, 106, 119, 134, 153, 161, 186, 275, 295, 295, 323, 323, 323]"
10569966,"Neurofibromatosis type 2 (NF2) is a highly penetrant autosomal dominant condition predisposing affected individuals to schwannomas and meningiomas. The proportion of children presenting with meningioma or schwannoma who have NF2 is not well described, and neither is the mode of presentation in most children with the inherited disease.

To determine the frequency of childhood meningioma and schwannoma cases caused by NF2 and the mode of presentation.

The records of the Manchester Children's Tumour Registry from 1954 were searched for cases of meningioma and schwannoma. Paediatric presentation in a large UK series of NF2 was also studied.

18% (61/334) of patients with NF2 on the UK database presented in the paediatric age group (0-15 years), frequently with the symptoms of an isolated tumour. More than half had no family history to alert the clinician to their susceptibility. Three of 22 children presenting with a meningioma on the Manchester Children's Tumour Registry have gone on to develop classic features of NF2.

Clinicians should suspect NF2 in children presenting with meningioma, schwannoma, and skin features, such as neurofibromas/schwannomas, but fewer than 6 caf̩ au lait patches, who thus fall short of a diagnosis of neurofibromatosis type 1.","['Neurofibromatosis', 'autosomal dominant', 'dominant', 'schwannomas', 'meningiomas', 'meningioma', 'schwannoma', 'childhood', 'meningioma', 'schwannoma', 'Tumour', 'meningioma', 'schwannoma', 'tumour', 'meningioma', 'Tumour', 'meningioma', 'schwannoma', 'skin features', 'neurofibromas', 'schwannomas', 'caf̩ au lait patches', 'neurofibromatosis', 'neurofibromatosis']","['0006746', '0000006', '0000006', '0100008', '0002858', '0002858', '0100008', '0011463', '0002858', '0100008', '0002664', '0002858', '0100008', '0002664', '0002858', '0002664', '0002858', '0100008', '0000951', '0001067', '0100008', '0000957', '0006746', '0006746']","[0, 53, 63, 119, 135, 191, 205, 368, 378, 393, 496, 549, 564, 796, 928, 968, 1092, 1104, 1120, 1143, 1157, 1187, 1247, 1248]","[17, 71, 71, 130, 146, 201, 215, 377, 388, 403, 502, 559, 574, 802, 938, 974, 1102, 1114, 1133, 1156, 1168, 1208, 1264, 1265]"
10593995,"Popliteal pterygium syndrome (PPS) is a rare autosomal dominant disorder, thought to occur with an incidence of approximately 1 in 300 000 live births. The main clinical manifestations are popliteal webbing, cleft lip, cleft palate, lower lip pits, syndactyly, and genital and nail anomalies. This report describes the clinical features in two families with PPS and one isolated case, showing the range of anomalies found both within and between the families. PPS has some features in common with Van der Woude syndrome (VWS), also inherited as an autosomal dominant condition, with cleft lip/palate and, more distinctively, lower lip pits. Although the gene for VWS has not yet been identified, it has been localised to within 1.6 cM in the region 1q32-41. To determine whether PPS and VWS represent allelic forms of the same gene, three families were genotyped for markers flanking and within the critical region. A multipoint lod score of 2.7 was obtained, with no evidence of recombination, supporting the hypothesis that these two disorders are allelic.","['Popliteal pterygium', 'pterygium', 'autosomal dominant disorder', 'autosomal dominant', 'dominant', 'popliteal webbing', 'cleft lip, cleft palate', 'cleft lip', 'cleft palate', 'lower lip pits', 'lip pits', 'pits', 'syndactyly', 'genital and nail anomalies', 'nail anomalies', 'isolated case', 'autosomal dominant', 'dominant', 'cleft lip/palate', 'cleft lip', 'lower lip pits', 'lip pits', 'pits']","['0009756', '0001059', '0000006', '0000006', '0000006', '0009756', '0000202', '0100333', '0000175', '0000196', '0000196', '0004467', '0001159', '0000078', '0001597', '0001420', '0000006', '0000006', '0000202', '0100333', '0000196', '0000196', '0004467']","[0, 10, 45, 45, 55, 189, 208, 208, 219, 233, 239, 243, 249, 265, 277, 370, 548, 558, 583, 583, 625, 631, 635]","[19, 19, 72, 63, 63, 206, 231, 217, 231, 247, 247, 247, 259, 291, 291, 383, 566, 566, 599, 592, 639, 639, 639]"
10631923,"Townes-Brocks syndrome (TBS) has been recognized as a dominant inherited syndrome. We report 2 cases of TBS. Case 1 was operated on for imperforate anus. Triphalangeal thumb and ear anomalies were remarkable. Deafness was diagnosed when the patient was 6 months old. Anomalies of the semicircular canals and the incus with inculomalleolar fusion were shown when the patient was 3.5 years old. During childhood, recurrent episodes of abdominal pain appeared. The diagnosis of hereditary angioneurotic edema (HANE) was made. HANE was familial as the father, the father's brother and the paternal grand mother were also affected. The parents of case 2, a female, are both mildly mentally retarded. This was the first pregnancy of the mother who had short stature. The child had an antepositioned anus, bifid right thumb, large toes, low set ears, microretrognathia and deafness. A (5, 16) translocation was observed in a child with TBS. At the breakpoint in 16q21.1, a gene coding for a transcription factor SALL1 has been identified and it was shown that mutations in the putative zinc finger of SALL1 cause TBS.","['dominant', 'dominant inherited', 'imperforate anus', 'Triphalangeal thumb', 'ear anomalies', 'Deafness', 'Anomalies of the semicircular canals', 'Anomalies of the semicircular canals and the incus', 'inculomalleolar fusion', 'childhood', 'episodes of abdominal pain', 'abdominal pain', 'pain', 'edema', 'mildly mentally retarded', 'mentally retarded', 'retarded', 'short stature', 'antepositioned anus', 'bifid right thumb', 'large toes', 'low set ears', 'microretrognathia', 'deafness']","['0000006', '0000006', '0002023', '0001199', '0000598', '0000404', '0011380', '0011453', '0005473', '0011463', '0002574', '0002027', '0012531', '0000969', '0001256', '0001249', '0001263', '0004322', '0001545', '0009944', '0010511', '0000369', '0000308', '0000404']","[54, 54, 136, 154, 178, 209, 267, 267, 323, 400, 421, 433, 443, 500, 669, 676, 685, 746, 778, 799, 818, 830, 844, 866]","[62, 72, 152, 173, 191, 217, 303, 317, 345, 409, 447, 447, 447, 505, 693, 693, 693, 759, 797, 816, 828, 842, 861, 874]"
