ID,HPO ID,Symptoms
25763772,['0006532'],['Recurrent pneumonia']
25847295,[],[]
26316050,[],[]
26406200,"['0003418', '0003419']","['Back pain', 'Low back pain']"
26424709,[],[]
26476440,[],[]
26797704,[],[]
26864880,[],[]
26867927,['0005110'],['Atrial fibrillation']
26868132,['0025264'],['Stiff ankle']
26876532,"['0002664', '0002897']","['Neoplasm', 'Parathyroid adenoma']"
26883265,"['0001374', '0002814']","['Congenital hip dislocation', 'Abnormality of the lower limb']"
26931495,['0012806'],['Proboscis']
26944725,['0002664'],['Neoplasm']
27010511,[],[]
27059693,"['0001369', '0001370']","['Arthritis', 'Rheumatoid arthritis']"
27061776,"['0000083', '0002090']","['Renal insufficiency', 'Pneumonia']"
27086366,"['0100495', '0000989', '0002315', '0032155', '0002014', '0001369', '0002653', '0002615', '0031273', '0200151']","['Mastocytosis', 'Pruritus', 'Headache', 'Abdominal cramps', 'Diarrhea', 'Arthritis', 'Bone pain', 'Hypotension', 'Shock', 'Cutaneous mastocytosis']"
27093899,['0003324'],['Generalized muscle weakness']
27113387,[],[]
27117874,['0002099'],['Asthma']
27121486,[],[]
27131339,"['0002664', '0002860', '0030731', '0002745']","['Neoplasm', 'Squamous cell carcinoma', 'Carcinoma', 'Oral leukoplakia']"
27172917,"['0025388', '0002890', '0002895', '0030731', '0002835']","['Thyroid nodule', 'Thyroid carcinoma', 'Papillary thyroid carcinoma', 'Carcinoma', 'Aspiration']"
27196563,"['0100512', '0003165']","['Vitamin D deficiency', 'Elevated circulating parathyroid hormone level']"
27213687,"['0000563', '0000483', '0031792', '0000559', '0100699']","['Keratoconus', 'Astigmatism', 'Irregular astigmatism', 'Corneal scarring', 'Scarring']"
27216824,[],[]
27233131,[],[]
27233260,[],[]
27233466,"['0007302', '0031589', '0000739', '0000713']","['Bipolar affective disorder', 'Suicidal ideation', 'Anxiety', 'Agitation']"
27233592,[],[]
27233918,[],[]
27234004,[],[]
27234031,[],[]
27234220,['0005110'],['Atrial fibrillation']
27235559,[],[]
27235789,[],[]
27235824,[],[]
27235870,[],[]
27235977,"['0012393', '0100845']","['Allergy', 'Anaphylactic shock']"
27235985,['0100753'],['Schizophrenia']
27236033,['0002621'],['Atherosclerosis']
27236097,[],[]
27236596,[],[]
27236780,[],[]
27237301,"['0000112', '0012330']","['Nephropathy', 'Pyelonephritis']"
27237609,[],[]
27237979,"['0002861', '0002664']","['Melanoma', 'Neoplasm']"
27239027,"['0003560', '0003741']","['Muscular dystrophy', 'Congenital muscular dystrophy']"
27239445,"['0002664', '0001402', '0030731', '0002896']","['Neoplasm', 'Hepatocellular carcinoma', 'Carcinoma', 'Neoplasm of the liver']"
27239541,['0002511'],['Alzheimer disease']
27239953,[],[]
27240257,['0002063'],['Rigidity']
27240437,"['0100543', '0002721', '0012115']","['Cognitive impairment', 'Immunodeficiency', 'Hepatitis']"
27240560,"['0001513', '0025502']","['Obesity', 'Overweight']"
27241087,"['0001269', '0002381']","['Hemiparesis', 'Aphasia']"
27241291,[],[]
27241818,['0012378'],['Fatigue']
27242101,['0011095'],['Overjet']
27242395,[],[]
27242550,['0001513'],['Obesity']
27242761,['0025464'],['Increased reactive oxygen species production']
27242865,[],[]
27243664,[],[]
27244222,['0001513'],['Obesity']
27244841,"['0000717', '0000729']","['Autism', 'Autistic behavior']"
27245100,[],[]
27245303,[],[]
27245335,[],[]
27245524,[],[]
27246120,"['0002664', '0006753', '0012126']","['Neoplasm', 'Neoplasm of the stomach', 'Stomach cancer']"
27247892,[],[]
27249024,['0001513'],['Obesity']
27249236,[],[]
27249559,[],[]
27250037,[],[]
27250793,[],[]
27250823,[],[]
27250949,[],[]
27251117,[],[]
27251157,[],[]
27251364,[],[]
27251800,"['0000023', '0100790']","['Inguinal hernia', 'Hernia']"
27251918,"['0005110', '0001513', '0000822', '0002104', '0002870', '0010535']","['Atrial fibrillation', 'Obesity', 'Hypertension', 'Apnea', 'Obstructive sleep apnea', 'Sleep apnea']"
27252074,"['0002664', '0003003', '0001510']","['Neoplasm', 'Colon cancer', 'Growth delay']"
27252099,"['0003418', '0012532']","['Back pain', 'Chronic pain']"
27252199,[],[]
27252416,"['0002664', '0030078']","['Neoplasm', 'Lung adenocarcinoma']"
27252474,['0001276'],['Hypertonia']
27252721,[],[]
27252817,[],[]
27252904,['0100806'],['Sepsis']
27253877,[],[]
27254091,[],[]
27254783,['0025464'],['Increased reactive oxygen species production']
27254792,[],[]
27255214,['0002664'],['Neoplasm']
27255399,[],[]
27255411,"['0000822', '0000598', '0001677', '0000819', '0003077']","['Hypertension', 'Abnormality of the ear', 'Coronary artery atherosclerosis', 'Diabetes mellitus', 'Hyperlipidemia']"
27255600,"['0100543', '0002354', '0002511']","['Cognitive impairment', 'Memory impairment', 'Alzheimer disease']"
27256046,"['0002669', '0002664', '0010614', '0100244']","['Osteosarcoma', 'Neoplasm', 'Fibroma', 'Fibrosarcoma']"
27256126,[],[]
27256373,[],[]
27256491,"['0001297', '0002140']","['Stroke', 'Ischemic stroke']"
27256947,[],[]
27257056,[],[]
27257063,[],[]
27257207,[],[]
27257353,['0000716'],['Depressivity']
27257613,['0002511'],['Alzheimer disease']
27257694,['0002090'],['Pneumonia']
27257822,[],[]
27257836,"['0002835', '0012474']","['Aspiration', 'Carotid artery occlusion']"
