ID,Disease,HPO ID,Symptoms
202110,"Isolated 17,20-lyase deficiency","['0000138', '0000837', '0100879']","['Ovarian cyst', 'Increased circulating gonadotropin level', 'Enlarged ovaries']"
300438,17-beta-hydroxysteroid dehydrogenase X deficiency,"['0000061', '0000062']","['Ambiguous genitalia, female', 'Ambiguous genitalia']"
610006,2-methylbutyrylglycinuria,['0001941'],['Acidosis']
231530,3-hydroxyacyl-coa dehydrogenase deficiency,"['0004396', '0002013', '0002014', '0001254', '0001943', '0001290', '0001319', '0000842', '0005364', '0031691', '0032169']","['Poor appetite', 'Vomiting', 'Diarrhea', 'Lethargy', 'Hypoglycemia', 'Generalized hypotonia', 'Neonatal hypotonia', 'Hyperinsulinemia', 'Severe viral infections', 'Severe viral infection', 'Severe infection']"
273750,3-M syndrome,[],[]
250950,3-Methylglutaconic aciduria type I,[],[]
258501,3-Methylglutaconic aciduria type III,[],[]
610198,3-Methylglutaconic aciduria type V,[],[]
400045,46XX true hermaphroditism,[],[]
305400,Aarskog–Scott syndrome,"['0000316', '0003196', '0003189', '0000349', '0003502', '0004322', '0008848', '0001155', '0001156', '0009381', '0004095', '0004209', '0030084', '0040019', '0001159', '0006101', '0010554', '0012725', '0000023', '0000028', '0001537', '0100790', '0001249', '0010864']","['Hypertelorism', 'Short nose', 'Long nose', ""Widow's peak"", 'Mild short stature', 'Short stature', 'Moderately short stature', 'Abnormality of the hand', 'Brachydactyly', 'Short finger', 'Curved fingers', 'Clinodactyly of the 5th finger', 'Clinodactyly', 'Finger clinodactyly', 'Syndactyly', 'Finger syndactyly', 'Cutaneous finger syndactyly', 'Cutaneous syndactyly', 'Inguinal hernia', 'Cryptorchidism', 'Umbilical hernia', 'Hernia', 'Intellectual disability', 'Intellectual disability, severe']"
600501,ABCD syndrome,[],[]
200100,Abetalipoproteinemia,[],[]
231550,Achalasia-Addisonianism-Alacrimia syndrome,[],[]
200500,Acheiropody,[],[]
200600,Achondrogenesis type 1A,[],[]
200610,Achondrogenesis-hypochondrogenesis type 2,[],[]
